धातुः	मूलधातुः	धात्वर्थः	गणः	कर्मकत्वं	इट्त्वं	उपग्रहः	रूपम्	अनुबन्धादिविशेषः	टिप्पणिः
चद्	चदे	याचने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	चदति-ते	एदित्	
चन् 	चन	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चनति	घटादिः	
चन्	चन	श्रद्धा-उपतापयोः	चुरादिः	सकर्मकः	सेट्	उभयपदी	चानयति-ते	आधृषीयः	उपतापः, पुं, (उप + तप् + घञ् ।) त्वरा । उत्तापः । रोगः । इति मेदिनी ॥ अशुभम् । पीडा । इति शब्दरत्नावली ॥
चप्	चप	सान्त्वने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चपति		
चम्प्	चपि	गत्याम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	चम्पयति-ते		
चम् 	चमु	भक्षणे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चमति	उदित्	
चम्	चमु	भक्षणे	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	चम्नोति	छान्दसः	
चय्	चय	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	चयते		
चर्	चर	गतिभक्षणयोः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चरति		
चर्	चर	संशये	चुरादिः	सकर्मकः	सेट्	उभयपदी	चारयति-ते		
चरण्	चरण	गतौ	कण्ड्वादिः				चरण्यति		
चर्च्	चर्च	अध्ययने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चर्चयति-ते		
चर्च्	चर्च	परिभाषण-भर्त्सनयोः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चर्चति		परिभाषणं, क्ली, (परि + भाष् + ल्युट् ।) सनिन्द उपालम्भः । इत्यमरः । १ । ६ । १४ ॥ उपालम्भो दुर्व्वादः । निन्दया सह वर्त्तमानो य उपालम्भस्तत्र सनिन्दे परिभाषणम् । उपालम्भो गुणाविष्करणेन स्तुतिपूर्ब्बकोऽपि भवति ।
चर्ब्	चर्ब	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चर्बति		
चर्व्	चर्व	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चर्वति		
चल्	चल	कम्पने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चलति	घटादिः	
चल्	चल	विलसने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	चलति		
चल्	चल	भृतौ	चुरादिः	सकर्मकः	सेट्	उभयपदी	चालयति-ते		
चष्	चष	भक्षणे	भ्वादिः	सकर्मकः	सेट्	उभयपदी	चषति		
चह्	चह	परिकल्पने (दम्भः/ शाठ्यं)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चहति		
चह्	चह	परिकल्पने (दम्भः/ शाठ्यं)	चुरादिः	सकर्मकः	सेट्	उभयपदी	चहयति	अदन्तः/ ज्ञपादित्वात् मित्	
चाय्	चायृ	पूजा-निशामनयोः	भ्वादिः	सकर्मकः	सेट्	उभयपदी	चायति-ते	ऋदित्	
चिक्क्	चिक्क	व्यथने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चिक्कयति-ते		
चि	चिञ्	चयने	स्वादिः	द्विकर्मकः	अनिट्	उभयपदी	चिनोति-चिनुते		
चि	चिञ्	चयने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चपयति-ते; चपति-ते	ज्ञपादित्वात् मित्	
चिट्	चिट	परप्रेष्ये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चेटति		परप्रेष्य¦ स्त्री ६ त० । १ दासे २ दास्यां स्त्री काशीख० ३७ अ० ।
चित्	चित	सञ्चलने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	चेतयते	आकुस्मीयः	
चिन्त्	चिति	स्मृत्याम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	चिन्तयति-ते		
चित्	चिती	संज्ञाने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चेतति	ईदित्	
चित्र्	चित्र	चित्रीकरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	चित्रयति-ते	अदन्तः	
चिर्	चिरि	हिंसायाम्	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	चिरिणोति	इकारान्तः/ छान्दसः	
चिल्	चिल	निवसने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	चिलति		
चिल्ल्	चिल्ल	शैथिल्ये/ भावकरणे च	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चिल्लति		
चीक्	चीक	मर्षणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	चीकयति-ते/ चीकति-ते	आधृषीयः	
चीभ्	चीभृ	कत्थने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	चीभते		
चीव्	चीव	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	चीवयति-ते		
चीव्	चीवृ	आदान-संवरणयोः	भ्वादिः	सकर्मकः	सेट्	उभयपदी	चीवति-ते	ऋदित्	
चुक्क्	चुक्क	व्यथने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चुक्कयति-ते		
चुच्य्	चुच्य	अभिषवे (स्नपने)	भ्वादिः	स्नाने अकर्मकः/ अन्यत्र सकर्मकः	सेट्	परस्मैपदी	चुच्यति		
चुट्	चुट	छेदने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	चुटति	कुटादिः	
चुट्	चुट	छेदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चोटयति-ते		
चुण्ट्	चुटि	अल्पीभावे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चुण्टति		
चुण्ट्	चुटि	छेदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चुण्टयति-ते		
चुट्ट्	चुट्ट	अल्पीभावे	चुरादिः	अकर्मकः	सेट्	उभयपदी	चुट्टयति-ते		
चुड्	चुड	संवरणे/ समुच्छ्राये च	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	चुडति	कुटादिः	
चुण्ड्	चुडि	अल्पीभावे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चुण्डति		
चुड्ड्	चुड्ड	भावकरणे (अभिप्रायसूचने)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चुड्डति		
चुत्	चुतिर्	क्षरणे 	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चोतति	इरित्	
चुद्	चुद	सञ्चोदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चोदयति-ते		
चुप्	चुप	मन्दायां गतौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चोपति		
चुम्ब्	चुबि	वक्त्रसंयोगे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चुम्बति		
चुम्ब्	चुबि	हिंसायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	चुम्बयति-ते		
चुर्	चुर	स्तेये	चुरादिः	सकर्मकः	सेट्	उभयपदी	चोरयति-ते		
चुरण		चौर्ये	कण्ड्वादिः				चुरण्यति		
चुल्	चुल	समुच्छ्राये	चुरादिः	सकर्मकः	सेट्	उभयपदी	चोलयति-ते		
चुल्ल्	चुल्ल	भावकरणे (अभिप्रायसूचने)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चुल्लति		
चूर्	चूरी	दाहे	दिवादिः	सकर्मकः	सेट्	आत्मनेपदी	चूर्यते	ईदित्	
चूर्ण्	चूर्ण	प्रेरणे/ सङ्कोचने च	चुरादिः	सकर्मकः	सेट्	उभयपदी	चूर्णयति-ते		
चूष्	चूष	पाने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चूषति		
चृत्	चृती	हिंसा-ग्रन्थनयोः	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	चृतति		
चृप्	चृप	सन्दीपने	चुरादिः	सकर्मकः	सेट्	उभयपदी	चर्पयति-ते	आधृषीयः	
चेल्	चेलृ	चलने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	चेलति		
चेष्ट्	चेष्ट	चेष्टायाम्	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	चेष्टते	ऋदित्	
च्यु	च्यु	सहने	चुरादिः	सकर्मकः	सेट्	उभयपदी	च्यावयति-ते		
च्यु	च्युङ्	गतौ	भ्वादिः	सकर्मकः	अनिट्	आत्मनेपदी	च्यवते	उकारान्तः	
च्युत्	च्युतिर्	आसेचने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	च्योतति	इरित्	
च्युस्	च्युस	हसने	चुरादिः	अकर्मकः	सेट्	उभयपदी	च्योसयति-ते		
छद्	छद	अपवारणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	छादयति-ते/ छदति-ते	आधृषीयः	
छद्	छद	अपवारणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	छदयति-ते	अदन्तः	
छन्द्	छदि	संवरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	छन्दयति-ते		
छद्	छदिर्	ऊर्जने (बलं जीवनं च)	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	छदति/ छदयति	घटादिः/ इरित्	
छम्	छमु	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	छमति		
छर्द्	छर्द	वमने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	छर्दति		
छर्द्	छर्द	वमने	चुरादिः	अकर्मकः	सेट्	उभयपदी	छर्दयति-ते		
छष्	छष	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	उभयपदी	छपति-ते		
छिद्	छिदिर्	द्वैधीकरणे	रुधादिः	सकर्मकः	अनिट्	उभयपदी	छिनत्ति-छिन्ते		
छिद्र्	छिद्र	कर्णभेदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	छिद्रयति-ते	अदन्तः	
छुट्	छुट	संवरणे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	छुटति	कुटादिः	
छुड्	छुड	संवरणे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	छुडति		
छुप्	छुप	स्पर्शे	तुदादिः	सकर्मकः	अनिट्	परस्मैपदी	छुपति		
छुर्	छुर	छेदने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	छुरति	कुटादिः	
छृद्	उच्छृदिर्	दीप्ति-देवनयोः	रुधादिः	दीप्तावकर्मकः/ देवने सकर्मकः	सेट्	उभयपदी	छृणत्ति-छृन्ते		
छृद्	छृदी	दीपने	चुरादिः	सकर्मकः	सेट्	उभयपदी	छर्दयति-ते	आधृषीयः	
छृप्	छृप	सन्दीपने	चुरादिः	सकर्मकः	सेट्	उभयपदी	छर्पयति-ते	आधृषीयः	
छेद्	छेद	द्वैधीकरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	छेदयति-ते	अदन्तः	
छो	छो	छेदने	दिवादिः	सकर्मकः	अनिट्	परस्मैपदी	छ्यति	ओकारान्तः	
जक्ष्	जक्ष	भक्ष-हसनयोः	अदादिः	भक्षणे सकर्मकः/ हसने अकर्मकः	सेट्	परस्मैपदी	जक्षिति	रुदादिः	
जज्	जज	युद्धे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	जजति		
जञ्ज्	जजि	युद्धे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	जञ्जति		
जट्	जट	सङ्घाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जटति		
जड्	जड	सङ्घाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जडति		
जन्	जन	जनने	जुहोत्यादिः	अकर्मकः	सेट्	परस्मैपदी	जजन्ति	छान्दसः	
जन्	जनी	प्रादुर्भावे	दिवादिः	अकर्मकः	सेट्	आत्मनेपदी	जायते		
जप्	जप	व्यक्तायां वाचि/ मानसे च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जपति		
जम्भ्	जभी	गात्रविनामे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	जम्भते	ईदित्	
जम्भ्	जभि	नाशने	चुरादिः	सकर्मकः	सेट्	उभयपदी	जम्भयति-ते		
जम् 	जमु	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जमति		
जर्ज्	जर्ज	परिभाषण-हिंसा-तर्जनेषु	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	जर्जति		
जल्	जल	घातने (तैक्ष्ण्यं)	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जलति		
जल्	जल	अपवारणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	जालयति-ते		
जल्प्	जल्प	व्यक्तायां वाचि	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जल्पति		
जष्	जष	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जषति		
जंस्	जसि	रक्षणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	जंसयति-ते		
जस्	जसु	हिंसायाम्-ताडने च	चुरादिः	सकर्मकः	सेट्	उभयपदी	जासयति-ते		
जस्	जसु	मोक्षणे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	जस्यति		
जागृ	जागृ	निद्राक्षये	अदादिः	अकर्मकः	सेट्	परस्मैपदी	जागर्ति	ऋकारान्तः	
जि	जि	जये	भ्वादिः	अकर्मकः	अनिट्	परस्मैपदी	जयति		
जि	जि	अभिभवे (न्यूनीकरणं/ न्यूनीभवनम्)	भ्वादिः	न्यूनीकरणे सकर्मकः/ न्यूनीभवने अकर्मकः)	अनिट्	परस्मैपदी	जयति		
जिम्	जिमु	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जेमति		
जिर्	जिरि	हिंसायाम्	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	जिरिणोति	इकारान्तः/ छान्दसः	
जिन्व्	जिवि	प्रीणने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जिन्वति		
जिष्	जिषु	सेचने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जेषति	उदित्	
जीव्	जीव	प्राणने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	जीवति		
जुङ्ग्	जुगि	वर्जने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जुङ्गति		
जुट्	जुट	गतौ	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	जुटति	कुटादिः	
जुड्	जुड	गतौ बन्धने च	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	जुडति	कुटादिः	
जुड्	जुड	प्रेरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	जोडयति-ते		
जुत्	जुतृ	भासने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	जोतते		
जुन्	जुन	गतौ	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	जुनति	कुटादिः	
जुष्	जुष	परितर्कणे (ऊहो हिंसा वा/ सुखे च)	चुरादिः	सकर्मकः	सेट्	उभयपदी	जोषयति-ते/ जुषति-ते	आधृषीयः	
जुष्	जुष	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	जुषति		
जुष्	जुषी	प्रीतिसेवनयोः	तुदादिः	सकर्मकः	सेट्	आत्मनेपदी	जुषते		
जूर्	जूरी	हिंसाहान्योः	दिवादिः	सकर्मकः	सेट्	आत्मनेपदी	जूर्यते	ईदित्	
जृम्भ्	जृभि	गात्रविनामे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	जृम्भते		
जॄ		वयोहानौ	क्र्यादिः	अकर्मकः	सेट्	परस्मैपदी	जृणाति	ॠकारान्तः	
जॄ		वयोहानौ	चुरादिः	अकर्मकः	सेट्	उभयपदी	जारयति-ते/ जरति	ॠकारान्तः	
जॄ	जॄष्	वयोहानौ	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	जीर्यति		
जेष्	जेषृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	जेषते	ऋदित्	
जेह्	जेहृ	प्रयत्ने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	जेहते	ऋदित्	
जै		क्षये	भ्वादिः	अकर्मकः	अनिट्	परस्मैपदी	जायति	ऐकारान्तः	
ज्ञप्	ज्ञप	ज्ञाने/ ज्ञापने च	चुरादिः	सकर्मकः	सेट्	उभयपदी	ज्ञपयति-ते	मित्	
ज्ञा		अवबोधने	क्र्यादिः	सकर्मकः	अनिट्	परस्मैपदी (आत्मनेपदी)	जानाति-जानीते	आकारान्तः	
ज्ञा		नियोगे	चुरादिः	सकर्मकः	सेट्	उभयपदी	ज्ञापयति-ते		
ज्या		वयोहानौ	क्र्यादिः	अकर्मकः	अनिट्	परस्मैपदी	जिनाति	ल्वादिः	
ज्यु	ज्युङ्	गतौ	भ्वादिः	सकर्मकः	अनिट्	आत्मनेपदी	ज्यवते	उकारान्तः	
ज्रि		जये अभिभवे च	भ्वादिः	जये अकर्मकः/ अभिभवे सकर्मकः)	अनिट्	परस्मैपदी	ज्रयति		
ज्वर्	ज्वर	रोगे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	ज्वरति	मित्	
ज्वल्	ज्वल	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	ज्वलति		
झट्	झट	सङ्घाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	झटति		
झड्	झड	सङ्घाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	झडति		
झम्	झमु	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	झमति		
झझ्	झझ	युद्धे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	झझति		
झर्झ्	झर्झ	युद्धे	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	झर्झति		
झष्	झष	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	झषति		
झष्	झष	आदानसंवरणयोः	भ्वादिः	सकर्मकः	सेट्	उभयपदी	झषति-ते		
झॄ	झॄष्	वयोहानौ	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	झीर्यति		
टङ्क्	टकि	बन्धने	चुरादिः	सकर्मकः	सेट्	उभयपदी	टङ्कयति-ते		
टल्	टल	वैक्लव्ये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	टलति		
टिक्	टिकृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	टेकते	ऋदित्	
टीक्	टीकृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	टीकते	ऋदित्	
टौक्	टौकृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	टौकते	ऋदित्	
ट्वल्	ट्वल	वैक्लव्ये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	ट्वलति		
डप्	डप	सङ्घाते	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	डापयते	आकुस्मीयः	
डिप्	डिप	क्षेपे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	डिप्यति		
डिप्	डिप	क्षेपे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	डिपति	कुटादिः	
डिप्	डिप	क्षेपे सङ्घाते च	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	डेपयते	आकुस्मीयः	
डिम्ब्	डिबि	क्षेपे	चुरादिः	सकर्मकः	सेट्	उभयपदी	डिम्बयति-ते		
डिम्भ्	डिभि	क्षेपे	चुरादिः	सकर्मकः	सेट्	उभयपदी	डिम्भयति-ते		
डी	डीङ्	विहायसा गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	डयते		
डी	डीङ्	विहायसा गतौ	दिवादिः	सकर्मकः	सेट्	आत्मनेपदी	डीयते	ओदित्	
डुल्	डुल	उत्क्षेपणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	डोलयति-ते		
ढौक्	ढौकृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ढौकते		
नक्ष्	णक्ष	गतौ/ सङ्घात इत्येके	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	नक्षति		
नख्	णख	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	नखति		
नङ्ख्	णखि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	नङ्खति		
नट्	णट	नृत्तौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	नटति		
नद्	णद	अव्यक्ते शब्दे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	नदति		
नद्	णद	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	नादयति-ते		
नभ्	णभ	हिंसायाम्/ अभावेपि	भ्वादिः	हिंसायां सकर्मकः/ अभावे अकर्मकः	सेट्	आत्मनेपदी	नभते	द्युतादिः	
नभ्	णभ	हिंसायाम्	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	नभ्यति	पुषादिः	
नभ्	णभ	हिंसायाम्	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	नभ्नाति		
नम्	णम	प्रह्वत्वे शब्दे च	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	नमति		
नय्	णय	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	नयते		
नल्	णल	गन्धने (सूचनं)/ बन्धने च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	नलति		
नश्	णश	अदर्शने	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	नश्यति	पुषादिः	
नस्	णस	कौटिल्ये	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	नसते		
नह्	णह	बन्धने	दिवादिः	सकर्मकः	अनिट्	उभयपदी	नह्यति-ते		
नास्	णासृ	शब्दे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	नासते		
निक्ष्	णिक्ष	चुम्बने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	निक्षति		
निञ्ज्	णिजि	शुद्धौ	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	निङ्क्ते		
निज्	णिजिर्	शौच-पोषणयोः	जुहोत्यादिः	सकर्मकः	अनिट्	उभयपदी	नेनेक्ति-नेनिक्ते		
निन्द्	णिदि	कुत्सायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	निन्दति		
निद्	णिदृ	कुत्सा-सन्निकर्षयोः	भ्वादिः	सकर्मकः	सेट्	उभयपदी	नेदति-ते		
निल्	णिल	गहने (दुर्बोधः)	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	निलति		
निन्व्	णिवि	सेचने/ सेवने च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	निन्वति		
निश्	णिश	समाधौ (शीलम्)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	निशति		
निंस्	णिसि	चुम्बने	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	निंस्ते		
नी	णीञ्	प्रापणे	भ्वादिः	द्विकर्मकः	अनिट्	उभयपदी	नयति-ते		
नील्	णील	वर्णे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	नीलति		
नीव्	णीव	स्थौल्ये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	नीवति		
नु	णु	स्तुतौ	अदादिः	सकर्मकः	सेट्	परस्मैपदी	नौति		
नुद्	णुद	प्रेरणे	तुदादिः	सकर्मकः	अनिट्	उभयपदी	नुदति-ते		
नुद्	णुद	प्रेरणे	तुदादिः	सकर्मकः	अनिट्	परस्मैपदी	नुदति		
नू	णू	स्तवने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	नुवति	कुटादिः	
नेद्	णेदृ	कुत्सा-सन्निकर्षयोः	भ्वादिः	सकर्मकः	सेट्	उभयपदी	नेदति-ते		
नेष्	णेषृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	नेषते		
तक्	तक	हसने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	तकति		
तङ्क्	तकि	कृच्छ्रजीवने/ गतौ च	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	तङ्कति		
तक्ष्	तक्ष	त्वचने (संवरणं/ त्वचोग्रहणं च)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	तक्षति		
तक्ष्	तक्षू	तनूकरणे	भ्वादिः	सकर्मकः	वेट्	परस्मैपदी	तक्ष्णोति-तक्षति		
तङ्ग्	तगि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	तङ्गति		
तञ्च्	तञ्चु	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	तञ्चति		
तञ्च्	तञ्चू	सङ्कोचने	रुधादिः	सकर्मकः	वेट्	परस्मैपदी	तनक्ति		
तञ्ज्	तञ्जू	सङ्कोचने	रुधादिः	सकर्मकः	वेट्	परस्मैपदी	तनक्ति		
तट्	तट	उच्छ्राये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	तटति		
तड्	तड	आघाते	चुरादिः	सकर्मकः	सेट्	उभयपदी	ताडयति-ते		
तड्	तड	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	ताडयति-ते		
तण्ड्	तडि	ताडने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	तण्डते		
तन्त्र्	तत्रि	कुटुम्बधारणे	चुरादिः	अकर्मकः	सेट्	उभयपदी	तन्त्रयति-ते		
तन् 	तनु	विस्तारे	तनादिः	सकर्मकः	सेट्	उभयपदी	तनोति-तनुते		
तन्	तनु	श्रद्धोपकरणयोः	चुरादिः	सकर्मकः	सेट्	उभयपदी	तानयति-ते	आधृषीयः	
तप्	तप	सन्तापे	भ्वादिः	सकर्मकः	अनिट्	परस्मैपदी	तपति		
तप्	तप	ऐश्वर्ये	दिवादिः	अकर्मकः	अनिट्	आत्मनेपदी	तप्यते		
तप्	तप	सन्तापे	चुरादिः	सकर्मकः	सेट्	उभयपदी	तापयति-ते/ तपति	आधृषीयः	
तम्	तमु	काङ्क्षायाम्/ ग्लानौ (चारु.)	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	ताम्यति		
तय्	तय	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	तयते		
तर्क्	तर्क	भाषायाम्/ वितर्कणे च	चुरादिः	सकर्मकः	सेट्	उभयपदी	तर्कयति-ते		
तर्ज्	तर्ज	भर्त्सने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	तर्जति		
तर्ज्	तर्ज	भर्त्सने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	तर्जयति-ते	आकुस्मीयः	
तर्द्	तर्द	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	तर्दति		
तल्	तल	प्रतिष्ठायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	तालयति-ते		
तंस्	तसि	अलङ्करणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	तंसयति-ते		
तस्	तसु	उपक्षये	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	तस्यति		
ताय्	तायृ	सन्तान-पालनयोः	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	तायते		
तिक्	तिक	आस्कन्दे (तिरस्कारो वधश्च)/ गतौ च	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	तिक्नोति		
तिक्	तिकृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	तेकते		
तिग्	तिग	आस्कन्दे (तिरस्कारो वधश्च)/ गतौ च	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	तिग्नोति		
तिघ्	तिघ	आस्कन्दे (तिरस्कारो वधश्च)/ गतौ च	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	तिघ्नोति		
तिज्	तिज	निशाने (सहनम्)	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	तितिक्षते	नित्यसन्नन्तः	
