dhaatva~NkaH	dhaatunaama	saMskRRitabhaaShaarthaH	Meaning	hindii bhaaShaartha	gaNaH (padaH)	dhaatuH	laT (pra eka)	laT (pra bahu)	lRRi (pra eka)	luT (pra eka)	shatranta-shaanajanta	tvaa-pratyaya
17	suM	prasavaishvaryayoH| prasavo.abhyanuGYaanam| aishvaryamiishanakriiyaa|	To have power to consent	"jaananaa, sammati denaa, aishvarya prakaTa karanaa"	bhvaadi (pa)	su	savati	savanti	soShyati	sotaa	savat	sotvaa
18	smRRiM	cintaayaam	To remember	smaraNa karanaa	bhvaadi (pa)	smRRi	smarati	smaranti	smariShyati	smarttaa	smarat	smarttvaa
19	gRRiM	secane	To sprinkle	chhi.Dakana	bhvaadi (pa)	gRRi	garati	garanti	gariShyati	garttaa	garat	garttvaa
20	ghRRiM	secane	To sprinkle	chhi.Dakana	bhvaadi (pa)	ghRRi	gharati	gharanti	ghariShyati	gharttaa	gharat	gharttvaa
21	ausvRRi	shabdo pataapayoH	"To sound, to pain"	"shabda karanaa, kaShTa denaa"	bhvaadi (pa)	ausvRRi	svarati	svaranti	svariShyati	svarttaa/svaritaa	svarat	svarttaa/svaritvaa
22	dvRRiM	varaNe| varaNaM sthaganam	To cover	Dha.Nkanaa	bhvaadi (pa)	dvRRi	dvarati	dvaranti	dvariShyati	dvarttaa	dvarat	dvarttvaa
23	dhvRRiM	kauTilye	To behave contrary	galata vyavahaara karanaa	bhvaadi (pa)	dhvRRi	dhvarati	dhvaranti	dhvariShyati	dhvarttaa	dhvarat	dhvarttvaa
24	hvRRiM	kauTilye	To behave contrary	galata vyavahaara karanaa	bhvaadi (pa)	hvRRi	hvarati	hvaranti	hvariShyati	hvarttaa	hvarat	hvarttvaa
25	sRRiM	gatau|	To go	jaanaa	bhvaadi (pa)	sRRi	sarati	saranti	sariShyati	sarattaa	sarat	sarattvaa
26	RRiM	praapaNe ca| cakaaraadgatau	"To go, to carry"	"jaanaa, le jaanaa"	bhvaadi (pa)	RRi	RRicchhati	RRicchhanti	ariShyati	arttaa	RRicchhat	arttvaa
27	tRRI	plavanataraNayoH| plavanaM ma~njanam taraNamulla~Nghanam	"To swim, to bath in water"	"tairanaa, paanii me snaana karanaa"	bhvaadi (pa)	tRRi	tarati	taranti	tariiShyati	taritaa	tarat	taritvaa
28	TuudheM	paane	To drink	piinaa	bhvaadi (pa)	dhe	dhayati	dhayanti	dhaasyati	dhaataa	dhayat	dhaatvaa
29	daiMv	shodhane	To purify	shuddha karanaa	bhvaadi (pa)	dai	daayati	daayanti	daasyati	daataa	daayat	daatvaa
30	dhyaiM	cintaayaam|	To meditate upon	dhyaana lagaanaa	bhvaadi (pa)	dhyai	dhyaayati	dhyaayanti	dhyaasyati	dhyaataa	dhyaayat	dhyaatvaa
31	glaiM	harShaxaye| iha harShaxayo dhaatva pacayaH|	To be weak	xiiNa honaa	bhvaadi (pa)	glai	glaayati	glaayanti	glaasyati	glaataa	glaayat	glaatvaa
32	mlaiM	gaatravinaame| vinaaH kaantixayaH 	To grow weary	mlaana honaa	bhvaadi (pa)	mlai	mlaayati	mlaayanti	mlaasyati	mlaataa	mlaayat	mlaatvaa
33	dyaiM	iya~NgakaraNe	To disfigure	kharaaba karanaa	bhvaadi (pa)	dyai	dyaayati	dyaayanti	dyaasyati	dyaataa	dyaayat	dyaatvaa
34	draiM	svapne	To sleep	sonaa	bhvaadi (pa)	drai	draayati	draayanti	draasyati	draataa	draayat	draatvaa
35	dhraiM	tRRiptau	To be satisfied	tRRipta honaa	bhvaadi (pa)	dhrai	dhraayati	dhraayanti	dhraasyati	dhraataa	dhraayat	dhraatvaa
36	kaiM	shabde	"To sound, to pain"	shabda karanaa	bhvaadi (pa)	kai	kaayati	kaayanti	kaasyati	kaataa	kaayat	kaatvaa
37	gaiM	shabde	"To sound, to pain"	shabda karanaa	bhvaadi (pa)	gai	gaayati	gaayanti	gaasyati	gaataa	gaayat	gaatvaa
38	raiM	shabde	"To sound, to pain"	shabda karanaa	bhvaadi (pa)	rai	raayati	raayanti	raasyati	raataa	raayat	raatvaa
39	ShTyaiM	saMghaate	To be collected in a heap	ikaTThaa honaa	bhvaadi (pa)	ShTyai	ShTyaayati	ShTyaayanti	ShTayaasyati	ShTyaataa	ShTyaayat	ShTyaatvaa
40	styaiM	saMghaate	To be collected in a heap	ikaTThaa honaa	bhvaadi (pa)	styai	styaayati	styaayanti	styaasyati	styaataa	styaayat	styaatvaa
41	khaiM	"khadane, khadanaM hiMsaa stherya~nca"	"To strike, to be steady"	"hiMsaa karanaa, sthira honaa"	bhvaadi (pa)	khai	khaayati	khaayanti	khaasyati	khaataa	khaayat	khaatvaa
42	xaiM	xaye	To decrease	xiiNa honaa	bhvaadi (pa)	xai	xaayati	xaayanti	xaasyati	xaataa	xaayat	xaatvaa
43	jaiM	xaye	To decrease	xiiNa honaa	bhvaadi (pa)	jai	jaayati	jaayanti	jaasyati	jaataa	jaayat	jaatvaa
44	saiM	xaye	To decrease	xiiNa honaa	bhvaadi (pa)	sai	saayati	saayanti	saasyati	saataa	saayat	saatvaa
45	sraiM	paake	To boil	pakaanaa	bhvaadi (pa)	srai	sraayati	sraayanti	sraasyati	straataa	sraayat	straatvaa
46	shraiM	paake	To boil	pakaanaa	bhvaadi (pa)	shrai	shraayati	shraayanti	shraasyati	shraataa	shraayat	shraatvaa
47	paiM	shoShaNe	To wither	sukhaanaa	bhvaadi (pa)	pai	paayati	paayanti	paasyati	paataa	paayat	paatvaa
48	auvaiM	shoShaNe	To wither	sukhaanaa	bhvaadi (pa)	vai	vaayati	vaayanti	vaasyati	vaataa	vaayat	vaatvaa
49	ShNaM	viShTane	To coil around	lapeTanaa	bhvaadi (pa)	snai	snaayati	snaayanti	snaasyati	snaataa	snaayat	snaatvaa
50	phakka	niicergatau| niicairgatirmandagamanamasadvyavahaara	"To walk slowly, to behave falsely"	galata vyavahaara karanaa	bhvaadi (pa)	phakk	phakkati	phakkanti	phakkiShyati	phakkitaa	phakkat	phakkitvaa
51	taka	hasane	To laugh	ha.Nsanaa	bhvaadi (pa)	taka	takati	takanti	takiShyati	takitaa	takat	takitvaa
52	taku	kRRicchhrajiivane	To live in distress	dukhada avasthaa meM jiinaa	bhvaadi (pa)	ta~Nka	ta~Nkati	ta~Nkanti	ta~NkiShyati	ta~Nkitaa	ta~Nkat	ta~Nkitvaa
53	shuka	gatau	To go	jaanaa	bhvaadi (pa)	shuk	shokati	shokanti	shokiShyati	shokitaa	shokat	shokitvaa
54	bukka	bhaaShaNe	To speak	bolanaa	bhvaadi (pa)	bukaa	bukkati	bukkanti	bukkkiShyati	bukkitaa	bukkat	bukkitvaa
55	okhRRi	shoShaNaalamarthayoH	"To be dry, to be able"	"sukhaanaa, samartha honaa"	bhvaadi (pa)	okha	okhati	okhanti	okhiShyati	okhitaa	okhat	okhitvaa
56	raakhRRi	shoShaNaalamarthayoH	"To be dry, to be able"	"sukhaanaa, samartha honaa"	bhvaadi (pa)	raakh	raakhati	raakhanti	raakhiShyati	raakhitaa	raakhat	raakhitvaa
57	laakhRRi	shoShaNaalamarthayoH	"To be dry, to be able"	"sukhaanaa, samartha honaa"	bhvaadi (pa)	laakh	laakhati	laakhanti	laakhiShyati	laakhitaa	laakhat	laakhitvaa
58	draakhRRi	shoShaNaalamarthayoH	"To be dry, to be able"	"sukhaanaa, samartha honaa"	bhvaadi (pa)	draakh	draakhati	draakhanti	draakhiShyati	draakhitaa	draakhat	draakhitvaa
59	dhraakhRRi	shoShaNaalamarthayoH	"To be dry, to be able"	"sukhaanaa, samartha honaa"	bhvaadi (pa)	dhraakh	dhraakhati	dhraakhanti	dhraakhiShyati	dhraakhitaa	dhraakhat	dhraakhitvaa
60	shaakhRRi	vyaaptau	To pervade	vyaapta karanaa	bhvaadi (pa)	shaakh	shaakhati	shaakhanti	shaakhiShyati	shaakhitaa	shaakhat	shaakhitvaa
61	shlaakhRRi	vyaaptau	To pervade	vyaapta karanaa	bhvaadi (pa)	shlaakh	shlaakhati	shlaakhanti	shlaakhiShyati	shlaakhitaa	shlaakhat	shlaakhitvaa
62	kakkha	hasane	To laugh	ha.Nsanaa	bhvaadi (pa)	kakkh	kakkhati	kakkhanti	kakkhiShyati	kakkhitaa	kakkhat	kakkhitvaa
63	ukha	gatau	To go	jaanaa	bhvaadi (pa)	ukh	okhati	okhanti	okhiShyati	okhitaa	okhat	okhitvaa
64	nakha	gatau	To go	jaanaa	bhvaadi (pa)	nakh	nakhati	nakhanti	nakhiShyati	nakhitaa	nakhat	nakhitvaa
65	Nakha	gatau	To go	jaanaa	bhvaadi (pa)	nakh	nakhati	nakhanti	nakhiShyati	nakhitaa	nakhat	nakhitvaa
66	vakha	gatau	To go	jaanaa	bhvaadi (pa)	vakh	vakhati	vakhanti	vakhiShyati	vakhitaa	vakhat	vakhitvaa
67	makha	gatau	To go	jaanaa	bhvaadi (pa)	makh	makhati	makhanti	makhiShyati	makhitaa	makhat	makhitvaa
68	rakha	gatau	To go	jaanaa	bhvaadi (pa)	rakh	rakhati	rakhanti	rakhiShyati	rakhitaa	rakhat	rakhitvaa
69	lakha	gatau	To go	jaanaa	bhvaadi (pa)	lakh	lakhati	lakhanti	lakhiShyati	lakhitaa	lakhat	lakhitvaa
70	makhu	gatau	To go	jaanaa	bhvaadi (pa)	ma~Nkh	ma~Nkhati	ma~Nkhanti	ma~NkhiShyati	ma~Nkhitaa	ma~Nkhat	ma~Nkhitvaa
71	rakhu	gatau	To go	jaanaa	bhvaadi (pa)	ra~Nkh	ra~Nkhati	ra~Nkhanti	ra~NkhiShyati	ra~Nkhitaa	ra~Nkhat	ra~Nkhitvaa
72	lakhu	gatau	To go	jaanaa	bhvaadi (pa)	la~Nkh	la~Nkhati	la~Nkhanti	la~NkhiShyati	la~Nkhitaa	la~Nkhat	la~Nkhitvaa
73	rikhu	gatau	To go	jaanaa	bhvaadi (pa)	ri~Nkh	ri~Nkhati	ri~Nkhanti	ri~NkhiShyati	ri~Nkhitaa	ri~Nkhat	ri~Nkhitvaa
74	ikha	gatau	To go	jaanaa	bhvaadi (pa)	ikh	ekhati	ekhanti	ekhiShyati	ekhitaa	ekhat	ekhitvaa
75	ikhu	gatau	To go	jaanaa	bhvaadi (pa)	i~Nkh	i~Nkhati	i~Nkhanti	i~NkhiShyati	i~Nkhitaa	i~Nkhat	i~Nkhitvaa
76	iikhu	gatau	To go	jaanaa	bhvaadi (pa)	ii~Nkh	ii~Nkhati	ii~Nkhanti	ii~NkhiShyati	ii~Nkhitaa	ii~Nkhat	ii~Nkhitvaa
77	valga	gatau	To go	jaanaa	bhvaadi (pa)	valg	valgati	valganti	valgiShyati	valgitaa	valgat	valgitvaa
78	regu	gatau	To go	jaanaa	bhvaadi (pa)	ra~Ng	ra~Ngati	ra~Nganti	ra~NgiShyati	ra~Ngitaa	ra~Ngat	ra~Ngitvaa
79	lagu	gatau	To go	jaanaa	bhvaadi (pa)	la~Ng	la~Ngati	la~Nganti	la~NgiShyati	la~Ngitaa	la~Ngat	la~Ngitvaa
80	tagu	gatau	To go	jaanaa	bhvaadi (pa)	ta~Ng	ta~Ngati	ta~Nganti	ta~NgiShyati	ta~Ngitaa	ta~Ngat	ta~Ngitvaa
81	shragu	gatau	To go	jaanaa	bhvaadi (pa)	shra~Ng	shra~Ngati	shra~Nganti	shra~NgiShyati	shra~Ngitaa	shra~Ngat	shra~Ngitvaa
82	shlagu	gatau	To go	jaanaa	bhvaadi (pa)	shla~Ng	shla~Ngati	shla~Nganti	shla~NgiShyati	shla~Ngitaa	shla~Ngat	shla~Ngitvaa
83	agu	gatau	To go	jaanaa	bhvaadi (pa)	a~Ng	a~Ngati	a~Nganti	a~NgiShyati	a~Ngitaa	a~Ngat	a~Ngitvaa
84	vagu	gatau	To go	jaanaa	bhvaadi (pa)	va~Ng	va~Ngati	va~Nganti	va~NgiShyati	va~Ngitaa	va~Ngat	va~Ngitvaa
85	magu	gatau	To go	jaanaa	bhvaadi (pa)	ma~Ng	ma~Ngati	ma~Nganti	ma~NgiShyati	ma~Ngitaa	ma~Ngat	ma~Ngitvaa
86	svagu	gatau	To go	jaanaa	bhvaadi (pa)	sva~Ng	sva~Ngati	sva~Nganti	sva~NgiShyati	sva~Ngitaa	sva~Ngat	sva~Ngitvaa
87	iguu	gatau	To go	jaanaa	bhvaadi (pa)	i~Ng	i~Ngati	i~Nganti	i~NgiShyati	i~Ngitaa	i~Ngat	i~Ngitvaa
88	uguu	gatau	To go	jaanaa	bhvaadi (pa)	u~Ng	u~Ngati	u~Nganti	u~NgiShyati	u~Ngitaa	u~Ngat	u~Ngitvaa
89	riguu	gatau	To go	jaanaa	bhvaadi (pa)	ri~Ng	ri~Ngati	ri~Nganti	ri~NgiShyati	ri~Ngitaa	ri~Ngat	ri~Ngitvaa
90	ligu	gatau	To go	jaanaa	bhvaadi (pa)	li~Ng	li~Ngati	li~Nganti	li~NgiShyati	li~Ngitaa	li~Ngat	li~Ngitvaa
91	tvagu	kampane ca| cakaaraadgatau sthitasyaiva calanaM kampanam| gatirdeshaantara praaptihetuH kiryaa	"To tremble, to go"	"kampita honaa, jaanaa"	bhvaadi (pa)	tva~Ng	tva~Ngati	tva~Nganti	tva~NgiShyati	tva~Ngitaa	tva~Ngat	tva~Ngitvaa
92	yugu	varjane	To avoid	chhoDa denaa	bhvaadi (pa)	yu~Ng	yu~Ngati	yu~Nganti	yu~NgiShyati	yu~Ngitaa	yu~Ngat	yu~Ngitvaa
93	jagu	varjane	To avoid	chhoDa denaa	bhvaadi (pa)	ju~Ng	ju~Ngati	ju~Nganti	ju~NgiShyati	ju~Ngitaa	ju~Ngat	ju~Ngitvaa
94	vugu	varjane	To avoid	chhoDa denaa	bhvaadi (pa)	vu~Ng	vu~Ngati	vu~Nganti	vu~NgiShyati	vu~Ngitaa	vu~Ngat	vu~Ngitvaa
95	gaggha	hasane	To laugh	ha.Nsanaa	bhvaadi (pa)	gaggh	gagghati	gagghanti	gagghiShyati	gagghitaa	gagghat	gagghitvaa
96	dadhu	paalane	To protect	raxaa karanaa	bhvaadi (pa)	da~Ngh	da~Nghati	da~Nghanti	da~NghiShyati	da~Nghitaa	da~Nghat	da~Nghitvaa
97	shighu	aaghraaNe| aaghraaNaM gandhopaadaanaam|	To smell	suu.Nghanaa	bhvaadi (pa)	shi~Ngh	shi~Nghati	shi~Nghanti	shi~NghiShyati	shi~Nghitaa	shi~Nghat	shi~Nghitvaa
98	laghu	shoShaNe	To dry	sukhaanaa	bhvaadi (pa)	la~Ngh	la~Nghati	la~Nghanti	la~NghiShyati	la~Nghitaa	la~Nghat	la~Nghitvaa
99	shuca	shoke	To regret	shoka jataanaa	bhvaadi (pa)	shuc	shocati	shocanti	shociShyati	shocitaa	shocat	shocitvaa
100	kuca	shabde taare| taara ucca ityarthaH	"To cry out, behave contrary"	jora se aavaaja karanaa	bhvaadi (pa)	kuc	kocati	kocanti	kociShyati	kocitaa	kocat	kocitvaa
101	kru~nca	gatau	"To go, to become small"	"jaanaa, laghutaa prakaTa karanaa"	bhvaadi (pa)	kru~nc	kru~ncati	kru~ncanti	kru~nciShyati	kru~ncitaa	kru~ncat	kru~ncitvaa
102	ku~nca	kauTilyaalpiibhaavayoH	"To become small, to behave contrary"	"vakrataa karanaa, chhoTaa honaa"	bhvaadi (pa)	ku~nc	ku~ncati	ku~ncanti	ku~nciShyati	ku~ncitaa	ku~ncat	ku~ncitvaa
103	lu~nca	apanayane| anupayuktaapaasane	"To throw off, useless"	anupayukta ko pheMka denaa	bhvaadi (pa)	lu~nc	lu~ncita	lu~ncitanti	lu~nciShyati	lu~ncitaa	lu~ncitat	lu~ncitvaa
104	arca	puujaayaam	To worship	puujaa karanaa	bhvaadi (pa)	arc	arcati	arcanti	arciShyati	arcitaa	arcat	arcitvaa
105	a~ncuu	gatau ca| cakaaraatpuujaayaam	"To go, to worship"	"jaanaa, puujaa karanaa"	bhvaadi (pa)	a~nc	a~ncati	a~ncanti	a~nciShyati	a~ncitaa	a~ncat	a~ncitvaa
106	va~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	va~nc	va~ncati	va~ncanti	va~nciShyati	va~ncitaa	va~ncat	va~ncitvaa
107	ca~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	ca~nc	ca~ncati	ca~ncanti	ca~nciShyati	ca~ncitaa	ca~ncat	ca~ncitvaa
108	ta~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	ta~nc	ta~ncati	ta~ncanti	ta~nciShyati	ta~ncitaa	ta~ncat	ta~ncitvaa
109	tva~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	tva~nc	tva~ncati	tva~ncanti	tva~nciShyati	tva~ncitaa	tva~ncat	tva~ncitvaa
110	ma~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	ma~nc	ma~ncati	ma~ncanti	ma~nciShyati	ma~ncitaa	ma~ncat	ma~ncitvaa
111	mu~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	mu~nc	mu~ncati	mu~ncanti	mu~nciShyati	mu~ncitaa	mu~ncat	mu~ncitvaa
112	mru~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	mru~nc	mru~ncati	mru~ncanti	mru~nciShyati	mru~ncitaa	mru~ncat	mru~ncitvaa
113	mrucuu	gatau	To go	jaanaa	bhvaadi (pa)	mruc	mrocati	mrocanti	mrociShyati	mrocitaa	mrocat	mrocitvaa
114	mlucuu	gatau	To go	jaanaa	bhvaadi (pa)	mluc	mlocati	mlocanti	mlociShyati	mlocitaa	mlocit	mlocitvaa
115	glu~ncuu	gatau	To go	jaanaa	bhvaadi (pa)	glu~nc	glu~ncati	glu~ncanti	glu~nciShyati	glu~ncitaa	glu~ncat	glu~ncitvaa
116	Shasca	gatau	To go	jaanaa	bhvaadi (pa)	sashc	sashcati	sashcanti	sashciShyati	sashcitaa	sashcat	sashcitvaa
117	grucuu	steye	To steal	corii karanaa	bhvaadi (pa)	gruc	grocati	grocanti	grociShyati	grocitaa	grocat	grocitvaa
118	glucuu	steye	To steal	corii karanaa	bhvaadi (pa)	gluc	glocati	glocanti	glociShyati	glocitaa	glocat	glocitvaa
119	mlachha	avyaktaayaaM vaaci	To speak confusedly	anarthaka bolanaa	bhvaadi (pa)	mlecchh	mlecchhati	mlecchhanti	mlecchhiShyati	mlecchhitaa	mlecchhat	mlecchhitvaa
120	lachha	laxaNe	To mark	cihnita karanaa	bhvaadi (pa)	lacchh	lacchhati	lacchhanti	lacchhiShyati	lacchhitaa	lacchhat	lacchhitvaa
121	laachhu	laxaNe	To mark	cihnita karanaa	bhvaadi (pa)	laa~nchh	laa~nchhati	laa~nchhanti	laa~nchhiShyati	laa~nchhitaa	laa~nchhat	laa~nchhitvaa
122	vaachhu	icchhaayaam	To wish	icchhaa karanaa	bhvaadi (pa)	vaa~nchh	vaa~nchhati	vaa~nchhanti	vaa~nchhiShyati	vaa~nchhitaa	vaa~nchhat	vaa~nchhitvaa
123	aachhu	aayaame	To extend	laMbaa karmaa	bhvaadi (pa)	aa~nchh	aa~nchhati	aa~nchhanti	aa~nchhiShyati	aa~nchhitaa	aa~nchhat	aa~nchhitaa
124	hriichha	lajjaayaam	To be ashamed	sharma karanaa	bhvaadi (pa)	hriicchh	hriicchhati	hriicchhanti	hriicchhiShyati	hriicchhitaa	hriicchhat	hriicchhitvaa
125	hurchhaa	kauTilye	To be crooked	"vakrataa karanaa, chhoTaa honaa"	bhvaadi (pa)	huurcchh	huurchhati	huurchhanti	huurchhiShyati	huurchhitaa	huurchhat	huurchhitvaa
126	murchhaa	moha samucchhraayayoH	To faint	"muurchhita honaa, ba.Daa honaa"	bhvaadi (pa)	muurcchh	muurchhati	muurchhanti	muurchhiShyati	muurchhitaa	muurchhat	muurchhitvaa
127	sphurchhaa	vismRRitau	To forget	bhuula jaanaa	bhvaadi (pa)	sphuurcchh	sphuurchhati	sphuurchhanti	sphuurchhiShyati	sphuurchhitaa	sphuurchhat	sphuurchhitvaa
128	smurchhaa	vismRRitau	To forget	bhuula jaanaa	bhvaadi (pa)	smuurcchh	smuurchhati	smuurchhanti	smuurchhiShyati	smuurchhitaa	smuurchhat	smuurchhitvaa
129	yucchhaa	pramaade	To be idle	aalasa karanaa	bhvaadi (pa)	yucchh	yucchhati	yucchhanti	yucchhiShyati	yucchhitaa	yucchhat	yucchhitvaa
atha jaantaashcatushcatvaariMshat tyajaSh~njavarjaaH seTashca||												
130	dhRRija	gatau	To go	jaanaa	bhvaadi (pa)	dhRRij	dharjati	dharjanti	dharjiShyati	dharjitaa	dharjat	dharjitvaa
131	dhRRiju	gatau	To go	jaanaa	bhvaadi (pa)	dhRRi~nj	dhRRi~njati	dhRRi~njanti	dhRRi~njiShyati	dhRRi~njitaa	dhRRi~njat	dhRRi~njitvaa
132	dhvaja	gatau	To go	jaanaa	bhvaadi (pa)	dhvaj	dhvajati	dhvajanti	dhvajiShyati	dhvajitaa	dhvajat	dhvajitvaa
133	dhvaju	gatau	To go	jaanaa	bhvaadi (pa)	dhva~nj	dhva~njati	dhva~njanti	dhva~njiShyati	dhva~njitaa	dhva~njat	dhva~njitvaa
134	dhraja	gatau	To go	jaanaa	bhvaadi (pa)	dhraj	dhrajati	dhrajanti	dhrajiShyati	dhrajitaa	dhrajat	dhrajitvaa
135	dhraju	gatau	To go	jaanaa	bhvaadi (pa)	dhra~nj	dhra~njati	dhra~njanti	dhra~njiShyati	dhra~njitaa	dhra~njat	dhra~njitvaa
136	vaj	gatau	To go	jaanaa	bhvaadi (pa)	vaj	vajati	vajanti	vajiShyati	vajitaa	vajat	vajitvaa
137	vraja	gatau	To go	jaanaa	bhvaadi (pa)	vraj	vrajati	vrajanti	vrajiShyati	vrajitaa	vrajat	vrajitvaa
138	Shasja	gatau	To go	jaanaa	bhvaadi (pa)	sajj	sajjati	sajjanti	sajjiShyati	sajjitaa	sajjat	sajjitvaa
139	aja	xepaNe ca| cakaaraadgatau	"To go, to throw"	"jaanaa, pheMkanaa"	bhvaadi (pa)	aj	ajati	ajanti	veShyati	vetaa	ajat	vetvaa
140	kujuu	steye	To steal	corii karanaa	bhvaadi (pa)	kuj	kojati	kojanti	kojiShyati	kojitaa	kojat	kojitvaa
141	khujuu	steye	To steal	corii karanaa	bhvaadi (pa)	khuj	khojati	khojanti	khojiShyati	khojitaa	khojat	khojitvaa
142	arja	arjane	"To procure, to earn"	"saMgraha karanaa, kamaanaa"	bhvaadi (pa)	arj	arjati	arjanti	arjiShyati	arjitaa	arjat	arjitvaa
143	sarja	sarjane	"To procure, to earn"	"saMgraha karanaa, kamaanaa"	bhvaadi (pa)	sarj	sarjati	sarjanti	sarjiShyati	sarjitaa	sarjat	sarjitvaa
144	karja	vyathane	To distress	piiDaa denaa	bhvaadi (pa)	karj	karjati	karjanti	karjiShyati	karjitaa	karjat	karjitvaa
145	kharja	maarjane ca| cakaaraad vyathane	"To cleanse, to distress"	"saapha karanaa, piiDaa denaa"	bhvaadi (pa)	kharj	kharjati	kharjanti	kharjiShyati	kharjitaa	kharjat	kharjitvaa
146	khaja	manthe| mantho viloDanam	To churn	maMthana karanaa	bhvaadi (pa)	khaj	khajati	khajanti	khajiShyati	khajitaa	khajat	khajitvaa
147	khaju	gativaikalye| gatervaikalyaM vikRRitatvam|	To walk lame	laMgaDaa hokara calanaa	bhvaadi (pa)	khRRi~nj	kha~njati	kha~njanti	kha~njiShyati	kha~njitaa	kha~njat	kha~njitvaa
148	ejRRi	kampane	To tremble	kampita honaa	bhvaadi (pa)	ej	ejati	ejanti	ejiShyati	ejitaa	ejat	ejitvaa
149	Tvosphuurjaa	vajranirghoShe	To tremble	kampita honaa	bhvaadi (pa)	sphuurj	sphuurjati	sphuurjanti	sphuurajiShyati	sphuurjitaa	sphuurjat	sphuurjitvaa
150	xiija	avyakte shabde	To speak indistinctly	arthahiina aaspaShTa bolanaa	bhvaadi (pa)	xiij	xiijati	xiijanti	xiijiShyati	xiijitaa	xiijat	xiijitvaa
151	kuuja	avyakte shabde	To speak indistinctly	arthahiina aaspaShTa bolanaa	bhvaadi (pa)	kuuj	kuujati	kuujanti	kuujiShyati	kuujitaa	kuujat	kuujitvaa
152	guja	avyakte shabde	To speak indistinctly	arthahiina aaspaShTa bolanaa	bhvaadi (pa)	guj	gojati	gojanti	gojiShyati	gojitaa	gojat	gojitvaa
153	guju	avyakte shabde	To speak indistinctly	arthahiina aaspaShTa bolanaa	bhvaadi (pa)	gu~nj	gu~njati	gu~njanti	gu~njiShyati	gu~njitaa	gu~njat	gu~njitvaa
154	laja	bhartsane	To blame	doSha denaa	bhvaadi (pa)	laj	lajati	lajanti	lajiShyati	lajitaa	lajat	lajitvaa
155	laju	bhartsane	To blame	doSha denaa	bhvaadi (pa)	la~nj	la~njati	la~njanti	la~njiShyati	la~njitaa	la~njat	la~njitvaa
