1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
1.1.040|1.1.040 क्त्वातोसुन्कसुनः	The words ending in क्त्व , तोसुन् -- भावलक्षणे स्थेण्कृञ्वदिचरिहुतमिजनिभ्यस्तोसुन् 3.4.16, and कसुन् are अव्यय or indeclinables.<br><br>Terms: अव्यय
1.1.041|1.1.041 अव्ययीभावश्च	The compound called अव्ययीभाव is also अव्यय or indeclinable.<br><br>Terms: समास-अव्ययीभाव
1.1.042|1.1.042 शि सर्वनामस्थानम्	The affix शि 7.1.20 is called सर्वनामस्थान।<br><br>Terms: सर्वनामस्थान
1.1.043|1.1.043 सुडनपुंसकस्य	The first five case affixes comprised in the प्रत्यहार सुट् (i.e. the three case-terminations of the Nominative, and the singular and dual of the Accusative) are also called सर्वनामस्थान , except the case-affixes of the neuter gender.<br><br>Terms: सर्वनामस्थान
1.1.044|1.1.044 न वेति विभाषा	May or may not' is called विभाषा or option.<br><br>Terms: विभाषा
1.1.045|1.1.045 इग्यणः सम्प्रसारणम्	The इक् vowels which replace the semi-vowels यण् are called सम्प्रसारण।<br><br>Terms: सम्प्रसारण
1.1.046|1.1.046 आद्यन्तौ टकितौ	Of whatsoever the augments enunciated are distinguished by an indicatory ट् or क् , they precede or follow it accordingly.<br><br>Terms: augment
1.1.047|1.1.047 मिदचोऽन्त्यात्परः	The augment that has an indicatory म् comes after the last among the vowels and becomes the final position of that which it augments.<br><br>Terms: augment
1.1.048|1.1.048 एच इग्घ्रस्वादेशे	Of एच् vowels, इक् is the substitute, when short is to be substituted.<br><br>Terms: 
1.1.049|1.1.049 षष्ठी स्थानेयोगा	The force of the negative case in a sūtra is that of the phrase 'in the place of', when no special rules qualify the sense of Genitive 6th-Case.<br><br>Terms: 
1.1.050|1.1.050 स्थानेऽन्तरतमः	When a common term is obtained as a substitute, the likest of its significates to that in the place of which it comes, is the actual substitute.<br><br>Terms: 
1.1.051|1.1.051 उरँण् रपरः	When a letter of अण् प्रत्यहार comes as a substitute for ऋ it is always followed by र्।<br><br>Terms: 
1.1.052|1.1.052 अलोऽन्त्यस्य	The substitute takes the place of only the final letter (of that which is denoted by a term exhibited in the Genitive 6th-Case.<br><br>Terms: 
1.1.053|1.1.053 ङिच्च	And the substitute which hs indicatory ङ् (even though it consists of more than one letter) takes the place of the final letter only of the original expression.<br><br>Terms: 
1.1.054|1.1.054 आदेः परस्य	That which is enjoined to come in th room of what follows is to be understood as coming in the room only of the first letter thereof.<br><br>Terms: 
1.1.055|1.1.055 अनेकाल्शित्सर्वस्य	A substitute consisting of more than one letter and a substitute having an indicatory श् take the place of the whole of the original expression exhibited in the Genitive 6th-Case.<br><br>Terms: 
1.1.056|1.1.056 स्थानिवदादेशोऽनल्विधौ	A substitute (आदेश) is like the former occupant (स्थानी) but not in the case of a rule the occasion for the operation of which is furnished by the letters of the original term.<br><br>Terms: 
1.1.057|1.1.057 अचः परस्मिन् पूर्वविधौ	A substitute in the room of a vowel caused by something that follows, should be regarded as that whose place it takes when a rule would else take effect on what stands anterior to the original vowel.<br><br>Terms: 
1.1.058|1.1.058 न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु	Not so, in rules relating to the finals of words, to the doubling of letters, to the affixing of वरच् , to the elision of य , to accent, to homogenous letters, to अनुस्वर , to the lengthening of vowels and to the substitution of जस् and चर् characters.<br><br>Terms: 
1.1.059|1.1.059 द्विर्वचनेऽचि	Before an affix having an initial vowel, which causes reduplication, the substitute which takes the place of a vowel is like the original vowel even in form, only for the purpose of reduplication and no further.<br><br>Terms: 
1.1.060|1.1.060 अदर्शनं लोपः	The substitution of a blank (लोप) signifies disappearance.<br><br>Terms: 
1.1.061|1.1.061 प्रत्ययस्य लुक्‌श्लुलुपः	The disappearance of an affix when it is caused by the words लुक् , श्लु or लुप् are designated by those terms respectively.<br><br>Terms: 
1.1.062|1.1.062 प्रत्ययलोपे प्रत्ययलक्षणम्	When elision of an affix has taken place (लोप), the affix still exerts its influence and the operations dependant upon it, take place as if it were present.<br><br>Terms: 
1.1.063|1.1.063 न लुमताऽङ्गस्य	Of the base (अङ्ग), whose affix has been elided by the use of the three words containing लु , the operations dependant on it do not take place, regarding such base.<br><br>Terms: 
1.1.064|1.1.064 अचोऽन्त्यादि टि	The final portion of a word, beginning with the last among the vowels in the word, is called टि।<br><br>Terms: 
1.1.065|1.1.065 अलोऽन्त्यात् पूर्व उपधा	The letter immediately preceding the last letter of a word is called penultimate (उपधा).<br><br>Terms: 
1.1.066|1.1.066 तस्मिन्निति निर्दिष्टे पूर्वस्य	When a term is exhibited in the seventh case in these sūtras, the operation directed, is to be understood as effecting the state of what immediately precedes the which the term denotes.<br><br>Terms: 
1.1.067|1.1.067 तस्मादित्युत्तरस्य	An operation casused by the exhibition of a term in the Ablative 5th case, is to be understood to enjoin the substitution of something in the room of that which immediately follows the word denoted by the term.<br><br>Terms: 
1.1.068|1.1.068 स्वं रूपं शब्दस्याशब्दसंज्ञा	In this Grammar, when an operation is directed with regard to a word, the individual form of the word posesssing meaning is to be understood, except with regard to aword which is a definition.<br><br>Terms: 
1.1.069|1.1.069 अणुदित् सवर्णस्य चाप्रत्ययः	The letters of the प्रत्याहार अण् i.e. the vowels and semi-vowels and a term having उ for its indicatory letter, refer to their own form as well as to their homogeneous letters, except when they are used as प्रत्यय-s or affixes.<br><br>Terms: प्रत्यहार
1.1.070|1.1.070 तपरस्तत्कालस्य	The letter which has त् after or before it, besides referring to its own form, refers to those homogeneous letters which have the some prosodial length or time.<br><br>Terms: तपर-करणम्
1.1.071|1.1.071 आदिरन्त्येन सहेता	An initial letter, with a final इत् letter as a final, is the name of itself and of the intervening letters.<br><br>Terms: इत्
1.1.072|1.1.072 येन विधिस्तदन्तस्य	An injunction which is made with regard to a particular attribute, applies to words having that attribute at their end as well as to that attribute itself.<br><br>Terms: 
1.1.073|1.1.073 वृद्धिर्यस्याचामादिस्तद् वृद्धम्	That word, among the vowels of which the first is a वृद्धि , is called वृद्धम्। <br><br>Terms: वृद्धम्
1.1.074|1.1.074 त्यदादीनि च	The words त्यद् etc. are called वृद्धम्।<br><br>Terms: वृद्धम्
1.1.075|1.1.075 एङ् प्राचां देशे	A word that has the letters ए and ओ as the first among its vowels, gets also the designation of वृद्धम्।<br><br>Terms: वृद्धम्
1.2.001|1.2.001 गाङ्कुटादिभ्योऽञ्णिन्ङ् इत्	 All affixes after the verb गाङ् 'to study' and the verb कुट् 'to be crooked' and the rest, are as if they had an indicatory ङ् (ङित्), except those affixes which have an indicatory ञ् (ञित्) or ण् (णित्).<br><br>Terms: 
1.2.002|1.2.002 विज इट्	 An affix which begins with the augment इट् -- आर्धधातुकस्येड् वलादेः 7.2.35, is ङित् after the root विज् 'to fear, to move'.<br><br>Terms: 
1.2.003|1.2.003 विभाषोर्णोः	 After the verb ऊर्ण 'to cover', the affix beginning with the augment इट् is regarded optionally like ङित्।<br><br>Terms:  augment
1.2.004|1.2.004 सार्वधातुकमपित्	 A सार्वधातुक -- तिङ्शित्सार्वधातुकम् 3.4.113, affix not having an indicatory ङित्।<br><br>Terms:  सार्वधातुक
1.2.005|1.2.005 असंयोगाल्लिट् कित्	 The affixes of लिट् (Perfect Tense) not coming after a conjunct consonant, are as if they had an indicatory क् (कित्).<br><br>Terms: 
1.2.006|1.2.006 ईन्धिभवतिभ्यां च	 The लिट् (Perfect Tense) affixes after the roots इन्धि 'to kindle' and भू 'to become' are also कित्।<br><br>Terms:  लिट्
1.2.007|1.2.007 मृडमृदगुधकुषक्लिशवदवसः क्त्वा	 The affix क्त्वा is कित् after मृड् 'to be gracious', मृद् 'to squeeze', गुध् 'to wrap up', कुष् 'to tear', क्लिश् 'to suffer', वद् 'to speak' and वस् 'to dwell'.<br><br>Terms:  कित्
1.2.008|1.2.008 रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च	The affixes क्त्वा and सन् 3.1.7 are कित् after रुद् 'to weep', विद् 'to know', मुष् 'to steal', गृह् 'to seize', स्वप् 'to sleep' and प्रच्छ् 'to ask'. <br><br>Terms:  कित्
1.2.009|1.2.009 इको झल्	The affix सन् beginning with a letter of the प्रत्यहार झल् is like कित् after the verbs ending in इक् vowels.<br><br>Terms: कित्
1.2.010|1.2.010 हलन्ताच्च	 And after a root ending in a consonant and preceded by a vowel of the प्रत्यहार इक् , the affix सन् beginning witha झल् consonant, is like कित् ।<br><br>Terms: कित्
1.2.011|1.2.011 लिङ्सिचावात्मनेपदेषु	 After roots ending in a consonant, that adjoins a vowel of इक् प्रत्यहार , the substitutes of the -- विधिनिमन्त्रणामन्त्रण अधीष्टसम्प्रश्नप्रार्थनेषु लिङ् 3.3.161and सिच् -- च्लेः सिच् 3.1.44, when they begin with a consonant of झल् प्रत्यहार , are कित् when the आत्मनेपद affixes follow.<br><br>Terms: कित्
1.2.012|1.2.012 उश्च	 And after the verbs ending in ऋ , the substitutes of लिङ् and the affix सिच् , are कित् , when they begin with झल् and the आत्मनेपद affixes follow.<br><br>Terms: कित्
1.2.013|1.2.013 वा गमः	Optionally after the verb गम् , the लिङ् and the सिच् beginning with झल् consonants, in the आत्मनेपद , are कित्।<br><br>Terms: कित्
1.2.014|1.2.014 हनः सिच्	The सिच् आत्मनेपद affixes are कित् after the root हन् 'to kill'.<br><br>Terms: कित्
1.2.015|1.2.015 यमो गन्धने	The affix सिच् before आत्मनेपद affixes is कित् after the verb यम् when meaning 'to divulge'.<br><br>Terms: कित् 
1.2.016|1.2.016 विभाषोपयमने	The affix सिच् before आत्मनेपद affixes is कित् optionally when यम् means 'to expose'.<br><br>Terms: कित् 
1.2.017|1.2.017 स्था घ्वोरिच्च	The affix सिच् before आत्मनेपद affixes is कित् after स्था 'to stand' and घु मृषस्तितिक्षायाम् 1.2.20 verbs, and these verbs change their आ into इ before these terminations.<br><br>Terms: कित् 
1.2.018|1.2.018 न क्त्वा सेट्	 The affix क्त्वा when it takes the augment इट् (i.e. when it is सेट्) is not कित् ।<br><br>Terms: कित् 
1.2.019|1.2.019 निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः	 The सेट् निष्ठा affixes are not कित् after the verbs शीङ् 'to lie down', स्विद् 'to sweat', मिद् 'to melt', क्ष्विद् 'to be unctuous', and दृश् 'to offend'.<br><br>Terms: कित् 
1.2.020|1.2.020 मृषस्तितिक्षायाम्	 The सेट् निष्ठा affix is not कित् after the verb मृष् 'to forbear'.<br><br>Terms: कित् 
1.2.021|1.2.021 उदुपधाद्भावादिकर्मणोरन्यतरस्याम्	 The सेट् निष्ठा affix is optionally not कित् after the verbs with a penultimate उ if used impersonally or denoting the beginning of action.<br><br>Terms: कित् 
1.2.022|1.2.022 पूङः क्त्वा च	 The सेट् निष्ठा affix and the सेट् क्त्वा are not कित् after the verb पुङ् 'to purify'.<br><br>Terms: कित्
1.2.023|1.2.023 नोपधात्थफान्ताद्वा	 The सेट् क्त्वा is optionally कित् after the verbs having a penultimate न् ending in a थ् and फ्।<br><br>Terms: कित्
1.2.024|1.2.024 वञ्चिलुञ्च्यृतश्च	 The सेट् क्त्वा is optionally कित् after the verbs वञ्च् 'to cheat', लुञ्च् 'to pluck' and ऋत् 'to dare or abhor'.<br><br>Terms: कित्
1.2.025|1.2.025 तृषिमृषिकृशेः काश्यपस्य	The सेट् क्त्वा is optionally कित् , according to the opinion of ऋषि काश्यप after the verbs तृष् 'to be thirsty', मृष् 'to sprinkle' and कृश् 'to become lean'.<br><br>Terms: कित्
1.2.026|1.2.026 रलो व्युपधाद्धलादेः संश्च	 After a verb which begins in a consonant and ends in a letter of रल् प्रत्यहार and has as its penultimate इ or ई and उ or ऊ , the क्त्वा and सन् affixes are optionally कित् ।<br><br>Terms: कित्
1.2.027|1.2.027 ऊकालोऽज्झ्रस्वदीर्घप्लुतः	 A vowel whose time is that of short उ , ऊ and the prolated ऊ , is called respectively ह्रस्व short, दीर्घ long and प्लुत prolated.<br><br>Terms: 
1.2.028|1.2.028 अचश्च	 The short, long and prolated, when enunciated as such, by using these terms, are to be understood to come in the place of vowels only.<br><br>Terms: 
1.2.029|1.2.029 उच्चैरुदात्तः	 The vowel that is perceived as having a high tone is called उदात्त or acutely accented.<br><br>Terms: 
1.2.030|1.2.030 नीचैरनुदात्तः	The vowel that is perceived as having a low tone is called अनुदात्तः or gravely accented<br><br>Terms: अनुदात्त
1.2.031|1.2.031 समाहारः स्वरितः	The vowel that has the combination of अनुदात्त and उदात्त tones is said to be स्वरित or circumflexly accented.<br><br>Terms: स्वरित
1.2.032|1.2.032 तस्यादित उदात्तमर्धह्रस्वम्	Of it (स्वरित-s) the first portion is उदात्त , to the extent of a half measure, or prosodial length.<br><br>Terms: स्वरित
1.2.033|1.2.033 एकश्रुति दूरात् सम्बुद्धौ	In addressing a person from a distance the tone is called एकश्रुति or monotony.<br><br>Terms: एकश्रुति
1.2.034|1.2.034 यज्ञकर्मण्यजपन्यूङ्खसामसु	In sacrificial works there is Monotony, except in जप (silent repetition of a formula), न्यूङ्ख vowels (16 sorts of ओम्) and the साम Vedas.<br><br>Terms: एकश्रुति
1.2.035|1.2.035 उच्चैस्तरां वा वषट्कारः	The pronounciation of the word वषट् , may optionally be by raising the voice (accutely accented), or it may be pronounced with monotony.<br><br>Terms: एकश्रुति
1.2.036|1.2.036 विभाषा छन्दसि	The monotony is optional in the recitation of the Vedas or they may be recited with accents.<br><br>Terms: छन्दस्
1.2.037|1.2.037 न सुब्रह्मण्यायां स्वरितस्य तूदात्तः	There should be no Monotony in the recitation of the सब्रह्मण्य hymns and in those hymns, the vowels, that would otherwise have taken the स्वरित accent, take the उदात्त accent instead.<br><br>Terms: स्वरित
1.2.038|1.2.038 देवब्रह्मणोरनुदात्तः	The words देवा and ब्राह्मण in those hymns have अनुदात्त accent.<br><br>Terms: 
1.2.039|1.2.039 स्वरितात् संहितायामनुदात्तानाम्	The Monotony takes the place of the अनुदात्त vowels which follow the स्वरित vowels, in close proximity (संहिता).<br><br>Terms: 
1.2.040|1.2.040 उदात्तस्वरितपरस्य सन्नतरः	The accent called सन्नतर is substituted in the room of an अनुदात्त vowel, which has an उदात्त or स्वरित vowel following it.<br><br>Terms: 
1.2.041|1.2.041 अपृक्त एकाल् प्रत्ययः	An affix consisting of a single letter is called अपृक्त।<br><br>Terms:  अपृक्त
1.2.042|1.2.042 तत्पुरुषः समानाधिकरणः कर्मधारयः	A तत्-पुरुष compound, the case of each member is the same, is called कर्मधारय or Appositional Determinative compound.<br><br>Terms:  कर्मधारय
1.2.043|1.2.043 प्रथमानिर्दिष्टं समास उपसर्जनम्	In (this book, in the sūtras relating to) compound, the word that is exhibited in the Nominative -1st case, is called उपसर्जन or the secondary word.<br><br>Terms: उपसर्जन
1.2.044|1.2.044 एकविभक्ति चापूर्वनिपाते	A word which hs one fixed case, (while the word compounded with it may vary its case) is also उपसर्जन , except for the purposes of the the rule which requires the उपसर्जन to stand first in a compound.<br><br>Terms:  उपसर्जन
1.2.045|1.2.045 अर्थवदधातुरप्रत्ययः प्रातिपदिकम्	A significant form of a word, not being a verbal root (धातु), or an affix (प्रत्यय) is called a प्रातिपदिक or crude-form.<br><br>Terms: प्रातिपदिक
1.2.046|1.2.046 कृत्तद्धितसमासाश्च	The forms ending कृत् affixes or तद्धित affixes, or compound are also called प्रातिपदिक।<br><br>Terms: प्रातिपदिक
1.2.047|1.2.047 ह्रस्वो नपुंसके प्रातिपदिकस्य	The short vowel is substituted in the neuter, for the final vowel, of a प्रातिपदिक।<br><br>Terms: प्रातिपदिक
1.2.048|1.2.048 गोस्त्रियोरुपसर्ज्जनस्य	A short vowel is the substitute of प्रातिपदिक which ends with the word गो 'a cow' and of that which ends with what has as its termination a feminine affix, when regarded as उपसर्जन।<br><br>Terms: प्रातिपदिक
1.2.049|1.2.049 लुक् तद्धितलुकि	When a तद्धित affix is elided by the word लुक् there takes place the elision by लुक् of feminine affix of the उपसर्जन।<br><br>Terms: तद्धित
1.2.050|1.2.050 इद्गोण्याः	The short is substituted in the place of गोणी , when the तद्धित affix is elided by लुक्।<br><br>Terms: तद्धित
1.2.051|1.2.051 लुपि युक्तवद्व्यक्तिवचने	When a तद्धित affix is elided by using the word लुप् , then the gender and number (of the derivative word) agree with those of the original word.<br><br>Terms: तद्धित
1.2.052|1.2.052 विशेषणानां चाजातेः	And of adjectives (the gender and number are the same as of the word formed by लुप् elision of the तद्धित and which they qualify) so far as the जाति (or kind of species) is concerned, (or when not expressing जाति).<br><br>Terms: तद्धित
1.2.053|1.2.053 तदशिष्यं संज्ञाप्रमाणत्वात्	This (concord or gender and number, of primitive and derivative nouns, and of attributes and substantives need not be taught (or approved), because it has the authority of संज्ञा (conventional term or idiom).<br><br>Terms: संज्ञा
1.2.054|1.2.054 लुब्योगाप्रख्यानात्	The sūtras declaring लुप् elision need not also be taught, because of the non-currency of the etymological meaning of the words supposed to be formed by लुप् elision.<br><br>Terms:  लुप्
1.2.055|1.2.055 योगप्रमाणे च तदभावेऽदर्शनं स्यात्	And if the etymological meaning 'be held authoritative', then when such meaning is absent, the word also should vanish.<br><br>Terms: 
1.2.056|1.2.056 प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्	(Nor need be taught) the rule relating to the dependance of the meaning of a word on the principal (प्रधान in a compound) or on the affix (प्रत्यय) because the authority of the meaning (of a word, compound or derivative) consists in something else.<br><br>Terms: 
1.2.057|1.2.057 कालोपसर्जने च तुल्यम्	And a rule fixing the meaning of Tense (काल) and उपसर्जन (sequence) is equally (unnecessary, and need not be taught).<br><br>Terms: 
1.2.058|1.2.058 जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्	In (a common) name (expressive of) class, in denoting the singular, the plural is optionally used.<br><br>Terms: 
1.2.059|1.2.059 अस्मदो द्वायोश्च	The plural of the pronoun अस्मद् 'I', is used optionally, though the sense requires a singular or a dual number.<br><br>Terms: 
1.2.060|1.2.060 फल्गुनीप्रोष्ठपदानां च नक्षत्रे	And the dual of फाल्गुनी and प्रष्ठपदा , when signifying asterisms, (also connotes optionally plural).<br><br>Terms: 
1.2.061|1.2.061 छन्दसि पुनर्वस्वोरेकवचनम्	In the Vedas, the two stars, पुनर्वासू , may optionally be singular, (and connote a dual).<br><br>Terms: 
1.2.062|1.2.062 विशाखयोश्च	In the Vedas, the two stars विशाखा may optionally be in the singular number.<br><br>Terms: 
1.2.063|1.2.063 तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य	In the द्वन्द compounds of the stars तिष्व and पुनर्वसू , the dual constantly comes in place of the plural.<br><br>Terms: समास-द्वन्द
1.2.064|1.2.064 सरूपाणामेकशेष एकविभक्तौ	Of the words having the same form and all in the same one case-termination, the last one is only retained.<br><br>Terms: 
1.2.065|1.2.065 वृद्धो यूना तल्लक्षणश्चेदेव विशेषः	The वृद्ध (or patronymic गोत्र word becomes एकशेष and is retained, when compounded) with a patronymic word युवन् , provided that the specific difference in form between them be in their signs (affix) only.<br><br>Terms:  वृद्ध
1.2.066|1.2.066 स्त्री पुंवच्च	And so also a feminine word, ending with a वृद्ध affix, when similarly spoken along with the same word but which ends with a युवन् affix, is only retained and it is treated like a masculine.<br><br>Terms:  वृद्ध
1.2.067|1.2.067 पुमान् स्त्रिया	A word in the masculine gender, similarly spoken along with the same word, but ending with the feminine affix, becomes एकशेष and the latter is dropped.<br><br>Terms:  एकशेष
1.2.068|1.2.068 भ्रातृपुत्रौ स्वसृदुहितृभ्याम्	The words भ्रातृ 'brother' and पुत्र 'son', when spoken of along with स्वसृ 'sister' and दुहितृ 'daughter' respectively are only retained and the latter are dropped.<br><br>Terms:  भ्रातृ
1.2.069|1.2.069 नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्	A neuter noun, which has the same form, only differing in affix, is optionally retained and the other is dropped and it is like a singular number.<br><br>Terms:  neuter
1.2.070|1.2.070 पिता मात्रा	The word पितृ 'father' is optionally only retained when spoken of along with मातृ 'mother'.<br><br>Terms:  पितृ
1.2.071|1.2.071 श्वशुरः श्वश्र्वा	The word श्वशुर 'father-in-law', is optionally only retained, when spoken of along with श्वशुरू 'mother-in-law'.<br><br>Terms:  श्वशुर
1.2.072|1.2.072 त्यदादीनि सर्वैर्नित्यम्	The pronouns त्यद् etc. when spoken of along with any other noun, (pronoun other than त्यद् etc.) are always retained as एकशेष (to the exclusion of others).<br><br>Terms:  एकशेष
1.2.073|1.2.073 ग्राम्यपशुसंघेषु अतरुणेषु स्त्री	The feminine noun is only retained when denoting a collection of domestic animals, not being young.<br><br>Terms:  feminine
1.3.001|1.3.001 भूवादयो धातवः	The words beginning with भू 'to become' and denoting action, are called धातु or verbal roots.<br><br>Terms: धातु
1.3.002|1.3.002 उपदेशेऽजनुनासिक इत्	The nasalised vowels are इत् in उपदेश or original enunciation.<br><br>Terms: इत्
1.3.003|1.3.003 हलन्त्यम्	In उपदेश , the final consonant of roots etc. is इत्।<br><br>Terms: इत्
