धातुः	सङ्ख्या	अर्थः	गणादिः	सेट्त्वम्	सकर्मकता	पदप्रकारः	धातुसादृश्यम्	क्त्वान्ताः	तुम्	शिष्टोक्तिः
खर्ज	३४०	खर्ज पूजने च	१-भ्वादिः-२२९। सक। सेट्। पर।	से	सक	पर	१६९			चकारात् व्यथने। ‘खर्ज मार्जने’ इति क्षीरस्वामी। खर्जकः-र्जिका, खर्जकः-र्जिका, चिखर्जिषकः-षिका, चाखर्जकः-र्जिका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिक-व्यथनार्थककर्जतिवत् (१६९) ज्ञेयानि।  खर्जनम्।
खर्द	३४१	खर्द दन्दशूके	१-भ्वादिः-६०। सक। सेट्। पर।	से	सक	पर	१६९			दन्दशूके = दन्दशूककर्तृकक्रियायामित्यर्थः। खर्दकः-र्दिका, खर्दकः-र्दिका, चिखर्दिषकः-षिका, चाखर्दकः-र्दिका;  इत्यादीनि सर्वाण्यपि रूपाणि व्यथनार्थककर्जतिवत् (१६९) ज्ञेयानि।  खर्दः।
खर्ब	३४२	खर्ब गतौ	१-भ्वादिः-४२१। सक। सेट्। पर।	से	सक	पर	१७३			खर्बकः-र्बिका, खर्बकः-र्बिका, चिखर्बिषकः-षिका, चाखर्बकः-र्विका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककर्बतिवत् (१७३) ज्ञेयानि।
खर्व	३४३	खर्व दर्पे	१-भ्वादिः-५८२। अक। सेट्। पर।	से	अक	पर	१७३-आ			खर्वकः-र्विका, खर्वकः-र्विका, चिखर्विषकः-षिका, चाखर्वकः-र्विका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककर्वतिवत् (१७३-आ) ज्ञेयानि।  खर्वितः।
खल	३४४	खल सञ्चये च	१-भ्वादिः-५४५। सक। सेट्। पर।	से	सक	पर		खलित्वा, खालयित्वा, चिखलिषित्वा, चाखलित्वा	खलितुम्, खालयितुम्, चिखलिषितुम्, चाखलितुम्	चकारात् चलने च--इति क्षीरस्वामी। खालकः-लिका, खालकः-लिका, चिखलिषकः-षिका, चाखलकः-लिका;  खलिता-त्री, खालयिता-त्री, चिखलिषिता-त्री, चाखलिता-त्री;  खलन्-न्ती, खालयन्-न्ती, चिखलिषन्-न्ती;  -- खलिष्यन्-न्ती-ती, खालयिष्यन्-न्ती-ती, चिखलिषिष्यन्-न्ती-ती;  -- -- खालयमानः, खालयिष्यमाणः, चाखल्यमानः, चाखलिष्यमाणः;  सुखल्-सुखलौ-सुखलः;  -- -- -- खलितम्-तः, खालितः, चिखलिषितः, चाखलितः-तवान्;   खलः , खालः, चिखलिषुः, चाखलः;  खलितव्यम्, खालयितव्यम्, चिखलिषितव्यम्, चाखलितव्यम्;   खलनीयम्, खालनीयम्, चिखलिषणीयम्, चाखलनीयम्;  खाल्यम्, खाल्यम्, चिखलिष्यम्, चाखल्यम्;  ईषत्खलः-दुष्खलः-सुखलः;  -- -- खल्यमानः, खाल्यमानः, चिखलिष्यमाणः, चाखल्यमानः;  खालः,  खलः,  खलतिः, खालः, चिखलिषः, चाखलः;  खलितुम्, खालयितुम्, चिखलिषितुम्, चाखलितुम्;   खलितिः, खालना, चिखलिषा, चाखला;  खलनम्, खालनम्, चिखलिषणम्, चाखलनम्;  खलित्वा, खालयित्वा, चिखलिषित्वा, चाखलित्वा;  प्रखल्य, प्रखाल्य, प्रचिखलिष्य, प्रचाखल्य;  खालम् २, खलित्वा २, खालम् २, खालयित्वा २, चिखलिषम् २, चिखलिषित्वा २, चाखलम् २;  चाखलित्वा २।
खव[च]	३४५	खव[च] भूतप्रादुर्भावे	९-क्र्यादिः-१५३१। अक। सेट्। पर।	से	अक	पर		खवित्वा, खावयित्वा, चिखविषित्वा, चाखवित्वा	खवितुम्, खावयितुम्, चिखविषितुम्, चाखवितुम्	भूतप्रादुर्भावः = अतिक्रान्तोत्पत्तिः।  खावकः-विका, खावकः-विका, चिखविषकः-षिका, चाखवकः-विका;  खविता-त्री, खावयिता-त्री, चिखविषिता-त्री, चाखविता-त्री;   खौनन्-  ती, खावयन्-न्ती, चिखविषन्-न्ती;  --  खविष्यन्-न्ती-ती, खावयिष्यन्-न्ती-ती, चिखविषिष्यन्-न्ती-ती;  -- खावयमानः, खावयिष्यमाणः, चाखव्यमानः, चाखविष्यमाणः;   खौः-खावौ-खावः;  -- -- खवितम्-तः, खावितः, चिखविषितः, चाखवितः-तवान्;  खवः, खावः, चिखविषुः, चाखवः;  खवितव्यम्, खावयितव्यम्, चिखविषितव्यम्, चाखवितव्यम्;  खवनीयम्, खावनीयम्, चिखविषणीयम्, चाखवनीयम्;  खाव्यम्, खाव्यम्, चिखविष्यम्, चाखव्यम्;  ईषत्खवः-दुष्खवः-सुखवः;  -- -- खव्यमानः, खाव्यमानः, चिखविष्यमाणः, चाखव्यमानः;  खावः, खावः, चिखविषः, चाखवः;  खवितुम्, खावयितुम्, चिखविषितुम्, चाखवितुम्;   खौतिः, खावना, चिखविषा, चाखवा;  खवनम्, खावनम्, चिखविषणम्, चाखवनम्;  खवित्वा, खावयित्वा, चिखविषित्वा, चाखवित्वा;  प्रखव्य, प्रखाव्य, प्रचिखविष्य, प्रचाखव्य;  खावम् २, खवित्वा २, खावम् २, खावयित्वा २, चिखविषम् २, चिखविषित्वा २, चाखवम् २;  चाखवित्वा २।
खष	३४६	खष हिंसार्थाः	१-भ्वादिः-६८६। सक। सेट्। पर।	से	सक	पर		खषित्वा, खाषयित्वा, चिखषिषित्वा, चाखषित्वा	खषितुम्, खाषयितुम्, चिखषिषितुम्, चाखषितुम्	खाषकः-षिका, खाषकः-षिका, चिखषिषकः-षिका, चाखषकः-षिका;  खषिता-त्री, खाषयिता-त्री, चिखषिषिता-त्री, चाखषिता-त्री;  खषन्-न्ती, खाषयन्-न्ती, चिखषिषन्-न्ती;  -- खषिष्यन्-न्ती-ती, खाषयिष्यन्-न्ती-ती, चिखषिषिष्यन्-न्ती-ती;  -- -- खाषयमाणः, खाषयिष्यमाणः, चाखष्यमाणः, चाखषिष्यमाणः;    खट्-खड्-खषौ-खषः;  -- -- -- खषितम्-तः, खाषितः, चिखषिषितः, चाखषितः-तवान्;  खषः,  सुरकाषिखाषी , खाषः, चिखषिषुः, चाखषः;  खषितव्यम्, खाषयितव्यम्, चिखषिषितव्यम्, चाखषितव्यम्;  खषणीयम्, खाषणीयम्, चिखषिषणीयम्, चाखषणीयम्;  खाष्यम्, खाष्यम्, चिखषिष्यम्, चाखष्यम्;  ईषत्खषः-दुष्खषः-सुखषः;  -- -- खष्यमाणः, खाष्यमाणः, चिखषिष्यमाणः, चाखष्यमाणः;  खाषः, खाषः, चिखषिषः, चाखषः;  खषितुम्, खाषयितुम्, चिखषिषितुम्, चाखषितुम्;  खष्टिः, खाषणा, चिखषिषा, चाखषा;  खषणम्, खाषणम्, चिखषिषणम्, चाखषणम्;  खषित्वा, खाषयित्वा, चिखषिषित्वा, चाखषित्वा;  विखष्य, विखाष्य, विचिखषिष्य, प्रचाखष्य;  खाषम् २, खषित्वा २, खाषम् २, खाषयित्वा २, चिखषिषम् २, चिखषिषित्वा २, चाखषम् २;  चाखषित्वा २।
खादृ	३४७	खादृ भक्षणे	१-भ्वादिः-४९। सक। सेट्। पर।	से	सक	पर		खादित्वा, खादयित्वा, चिखादिषित्वा, चाखादित्वा	खादितुम्, खादयितुम्, चिखादिषितुम्, चाखादितुम्	खादकः-दिका, खादकः-दिका, चिखादिषकः-षिका, चाखादकः-दिका;  खादिता-त्री, खादयिता-त्री, चिखादिषिता-त्री, चाखादिता-त्री;  खादन्-न्ती,  खादयन् -न्ती, चिखादिषन्-न्ती;  --  खादिष्यन्-न्ती-ती, खादयिष्यन्-न्ती-ती, चिखादिषिष्यन्-न्ती-ती;  -- -- -- चाखाद्यमानः, चाखादिष्यमाणः;  सुखात्-सुखाद्-सुखादौ-सुखादः;  -- --  खादितः-  तम्,  खादितः, चिखादिषितः, चाखादितः-तवान्;  खादः,  खादकः,  सर्पखादी, खादः, चिखादिषुः, चाखादः;  खादितव्यम्, खादयितव्यम्, चिखादिषितव्यम्, चाखादितव्यम्;  खादनीयम्, खादनीयम्, चिखादिषणीयम्, चाखादनीयम्;   खाद्यम्, खाद्यम्, चिखादिष्यम्, चाखाद्यम्;  ईषत्खादः-दुष्खादः-सुखादः;  -- -- खाद्यमानः, खाद्यमानः, चिखादिष्यमाणः, चाखाद्यमानः;  खादितुम्, खादयितुम्, चिखादिषितुम्, चाखादितुम्;   खादा, खादना, चिखादिषा, चाखादा;  खादनम्, खादनम्, चिखादिषणम्, चाखादनम्;  खादित्वा, खादयित्वा, चिखादिषित्वा, चाखादित्वा;  सङ्खाद्य, प्रखाद्य, सञ्चिखादिष्य, सञ्चाखाद्य;  खादम् २, खादित्वा २, खादम् २, खादयित्वा २, चिखादिषम् २, चिखादिषित्वा २, चाखादम् २;  चाखादित्वा २।
खिट	३४८	खिट त्रासे	१-भ्वादिः-३०२। अक। सेट्। पर।	से	अक	पर	१९०			त्रासः = भयोत्पादनम्। खेटकः-टिका, खेटकः-टिका, चेखेटिषकः-चिखिटिषकः-षिका, चेखेटकः-टिका;  इत्यादीनि ‘किट त्रासे’ (१९०) इति भौवादिकधातुवत् सर्वाणि रूपाणि ज्ञेयानि।  प्रखेटकः। आखेटकम् = मृगया।
खिद	३४९	खिद दैन्ये	४-दिवादिः-११७०। अक। अनि। आत्म।	अनि	अक	आत्म		खित्त्वा, खेदयित्वा, चिखित्सित्वा, चेखिदित्वा	खेत्तुम्, खेदयितुम्, चिखित्सितुम्, चेखिदितुम्	‘दैन्येऽर्थे खिद्यते खिन्ते, परिघाते तु खिन्दति।’ (श्लो। ११२) इति देवः। खेदकः-दिका, खेदकः-दिका,  चिखित्सकः-त्सिका,  चेखिदकः-दिका;  खेत्ता-त्त्री, खेदयिता-त्री, चिखित्सिता-त्री, चेखिदिता-त्री;  खेदयन्-न्ती, खेदयिष्यन्-न्ती-ती;  -- --  खिद्यमानः, खेदयमानः, चिखित्समानः, चेखिद्यमानः;  खेत्स्यमानः, खेदयिष्यमाणः, चिखित्सिष्यमाणः, चेखिदिष्यमाणः;  खित्-खिद्-खिदौ-खिदः;  -- --  खिन्नम्-खिन्नः-खिन्नवान्, खेदितः, चिखित्सितः, चेखिदितः-तवान्;   खिदः, खेदनः , खेदः, चिखित्सुः, चेखिदः;  खेत्तव्यम्, खेदयितव्यम्, चिखित्सितव्यम्, चेखिदितव्यम्;  खेदनीयम्, खेदनीयम्, चिखित्सनीयम्, चेखिदनीयम्;  खेद्यम्, खेद्यम्, चिखित्स्यम्, चेखिद्यम्;  ईषत्खेदः-दुष्खेदः-सुखेदः;  -- --  खिद्यमानः, खेद्यमानः, चिखित्स्यमानः, चेखिद्यमानः;   खेदः, खेदः, चिखित्सः, चेखिदः;  खेत्तुम्, खेदयितुम्, चिखित्सितुम्, चेखिदितुम्;   खिदा, खेदना, चिखित्सा, चेखिदा;  खेदनम्, खेदनम्, चिखित्सनम्, चेखिदनम्;  खित्त्वा, खेदयित्वा, चिखित्सित्वा, चेखिदित्वा;  सङ्खिद्य, सङ्खेद्य, प्रचिखित्स्य, प्रचेखिद्य;  खेदम् २, खित्त्वा २, खेदम् २, खेदयित्वा २, चिखित्सम् २, चिखित्सित्वा २, चेखिदम् २;  चेखिदित्वा २।
खिद	३५०	खिद परिघाते	६-तुदादिः-१४३६। सक। अनि। पर।	अनि	सक	पर	३४९			‘परितापे’ इति क्षीरस्वामी। मुचादिः। ‘दैन्येऽर्थे खिद्यते खिन्ते, परितापे (घाते) तु खिन्दति।’ (श्लो-११२) इति देवः।  खिन्दन्-न्ती-ती,  खेत्स्यन्-न्ती-ती,  परिखेदितम्, इत्यादीनि रूपाण्यस्य घातोः विशेषः। अन्यानि सर्वाण्यपि रूपाणि दैवादिकदैन्यार्थक (३४९) खिद्यतिवत् ज्ञेयानि।
खिद	३५१	खिद दैन्ये	७-रुधादिः-१४४९। अक। अनि। आत्म।	अनि	अक	आत्म	३४९			‘दैन्येऽर्थे खिद्यते खिन्ते, परितापे (घाते) तु खिन्दति।’ (श्लो। ११२) इति देवः।   खिन्दानः,  खेत्स्यमानः, खेदः ;  अिति रूपाणीति विशेषः। अन्यानि सर्वाणि रूपाणि दैन्यार्थकदैवादिक- खिद्यतिवत् (३४९) ज्ञेयानि।
खुङ्	३५२	खुङ् शब्दे	१-भ्वादिः-९५४। अक। अनि। आत्म।	अनि	अक	आत्म		खुत्वा, खावयित्वा, चुखूषित्वा, चोखूयित्वा	खोतुम्, खावयितुम्, चुखूषितुम्, चोखूयितुम्	खावकः-विका, खावकः-विका,  चुखूषकः-षिका,  चोखूयकः-यिका;  खोता-त्री, खावयिता-त्री, चुखूषिता-त्री, चोखूयिता-त्री;  -- खावयन्-न्ती, खावयिष्यन्-न्ती-ती;  -- खवमानः, खावयमानः, चुखूषमाणः, चोखूयमानः;  खोष्यमाणः, खावयिष्यमाणः, चुखूषिष्यमाणः, चोखूयिष्यमाणः;   सङ्खुत्-सङ्खुतौ-सङ्खुतः;  -- -- खुतम्-तः, खावितः, चुखूषितः, चोखूयितः-तवान्;  खवः,  खवनः, खावः, चुखूषुः,  चोखुवः;  खोतव्यम्, खावयितव्यम्, चुखूषितव्यम्, चोखूयितव्यम्;  खवनीयम्, खावनीयम्, चुखूषणीयम्, चोखूयनीयम्;   खव्यम्,  अवश्यखाव्यम्, खाव्यम्, चुखूष्यम्, चोखूय्यम्;   ईषत्खवः-दुष्खवः-सुखवः;  -- -- --  खूयमानः, खाव्यमानः, चुखूष्यमाणः, चोखूय्यमानः,  खवः, खावः, चुखूषः, चोखूयः;  खोतुम्, खावयितुम्, चुखूषितुम्, चोखूयितुम्;  खुतिः, खावना, चुखूषा, चोखूया;  खवनम्, खावनम्, चुखूषणम्, चोखूयनम्;  खुत्वा, खावयित्वा, चुखूषित्वा, चोखूयित्वा;  प्रखुत्य, प्रखाव्य, प्रचुखूष्य, प्रचोखूय्य;  खावम् २, खुत्वा २, खावम् २, खावयित्वा २, चुखूषम् २, चुखूषित्वा २, चोखूयम् २;  चोखूयित्वा २।
खुजु	३५२-आ	खुजु स्तेयकरणे	१-भ्वादिः-२००। सक। सेट्। पर।	से	सक	पर	२०३			‘कुजु स्तेयकरणे’ (२०३) इति भौवादिकधातुवत् सर्वाणि रूपाणि ज्ञेयानि।
खुड	३५३	खुड संवरणे	६-तुदादिः-१३८७। सक। सेट्। पर।	से	सक	पर	२०४			कुटादिः। खोडकः-डिका, खोडकः-डिका, चुखुडिषकः-षिका, चोखुडकः-डिका;  इत्यादीनि सर्वाण्यपि रूपाणि तौदादिककौटिल्यार्थककुटतिवत् (२०४) ज्ञेयानि।
खुडि	३५४	खुडि खण्डने	१०-चुरादिः-१५८५। सक। सेट्। उभ।	से	सक	उभ	२१०			अिदित्करणात् णिचो वैकल्पिकत्वम्। वेष्टनार्थकचौरादिककुण्ठयतिवत् (२१०) सर्वाणि रूपाणि ज्ञेयानि।
खुर	३५५	खुर छेदने	६-तुदादिः-१३४२। सक। सेट्। पर।	से	सक	पर	२२९			खोरकः-रिका, खोरकः-रिका, चुखुरिषकः-चुखोरिषकः-षिका, चोखुरकः-रिका;  इत्यादीनि सर्वाण्यपि रूपाणि तौदादिककुरतिवत् (२२९) ज्ञेयानि।  खुरन्।
खुर्द	३५६	खुर्द क्रीडायामेव	१-भ्वादिः-२२। अक। सेट्। आत्म।	से	अक	आत्म	२३०			खूर्दकः-र्दिका, खूर्दकः-र्दिका, चुखूर्दिषकः-षिका, चोखूर्दकः-र्दिका;  अित्यादीनि ‘कुर्द क्रीडायामेव’ (२३०) इति भौवादिकधातुवत् सर्वाणि रूपाणि ज्ञेयानि।  खूर्दकः।
खेट	३५७	खेट भक्षणे	१०-चुरादिः-१८७५। सक। सेट्। उभ।	से	सक	उभ	२६०			अदन्तः। खेटकः-टिका, चिखेटयिषकः-षिका;  अित्यादीनि ‘केत श्रावणे आमन्त्रणे निमन्त्रणे च’ (२६०) इति चौरादिकधातुवत् सर्वाणि रूपाण्यूह्यानि।  मदन्नखेटी। ‘सुप्यजातौ--’ (३-२-७८) इति णिनिः।
खेड	३५८	खेड भक्षणे	१०-चुरादिः-१८७५। सक। सेट्। उभ।	से	सक	उभ	२६०			अदन्तः। ‘खेट’ इत्यस्य पाठान्तरमिदम्। खेडकः-डिका, चिखेडयिषकः-षिका;  अित्यादीनि चौरादिककेतयतिवत् (२६०) सर्वाणि रूपाण्यस्य ज्ञेयानि।
खेलृ	३५९	खेलृ चलने	१-भ्वादिः-५३८। अक। सेट्। पर।	से	अक	पर	२६२			खेलकः-लिका, खेलकः-लिका, चिखेलिषकः-षिका, चेखेलकः-लिका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककेलतिवत् (२६२) ज्ञेयानि। खेलनम् ।
खेवृ	३६०	खेवृ सेवने	१-भ्वादिः-५०६। सक। सेट्। आत्म।	से	सक	आत्म	२६१			खेवकः-विका, खेवकः-विका, चिखेविषकः-षिका, चेखेवकः-विका;  इत्यादीनि सर्वाण्यपि रूपाणि केपृ (२६१) धातुवत् बोध्यानि। ‘षेवृ’ धातोः मैत्रेयरक्षितसम्मतः पाठोऽयम्। ‘केवृ’ इति क्षीरस्वाम्यादयः।
खै	३६१	खै खेदने	१-भ्वादिः-९१३। अक। अनि। पर।	अनि	अक	पर		खात्वा, खापयित्वा, चिखासित्वा, चाखायित्वा	खातुम्, खापयितुम्, चिखासितुम्, चाखायितुम्	खायकः-यिका,  खापकः-पिका, चिखासकः-सिका,  चाखायकः-यिका;  खाता-त्री, खापयिता-त्री, चिखासिता-त्री, चाखायिता-त्री;   खायन्-न्ती, खापयन्-न्ती, चिखासन्-न्ती;  -- खास्यन्-न्ती, खापयिष्यन्-न्ती-ती, चिखासिष्यन्-न्ती-ती;  -- खापयमानः, खापयिष्यमाणः, चाखायमानः, चाखायिष्यमाणः;  प्रखाः-प्रखौ-प्रखः;  -- -- -- खातम्-तः,  खापितः, चिखासितः, चाखायितः-तवान्;   आखाः,  शत्त्रुखः,  खायः, खापः, चिखासुः,  चाखाः;  खातव्यम्, खापयितव्यम्, चिखासितव्यम्, चाखायितव्यम्;  खानीयम्, खापनीयम्, चिखासनीयम्, चाखायनीयम्;   खेयम्, खाप्यम्, चिखास्यम्, चाखाय्यम्;    ईषत्खानः-दुष्खानः-सुखानः;  -- -- खायमानः, खाप्यमानः, चिखास्यमानः, चाखाय्यमानः;  खायः, खापः, चिखासः, चाखायः;  खातुम्, खापयितुम्, चिखासितुम्, चाखायितुम्;  खातिः,  आखा, खापना, चिखासा, चाखाया;  खानम्, खापनम्, चिखासनम्, चाखायनम्;  खात्वा, खापयित्वा, चिखासित्वा, चाखायित्वा;  प्रखाय, प्रखाप्य, प्रचिखास्य, प्रचाखाय्य;  खायम् २, खात्वा २, खापम् २, खापयित्वा २, चिखासम् २, चिखासित्वा २, चाखायम् २;  चाखायित्वा २।
खोट	३६२	खोट भक्षणे	१०-चुरादिः-१८७५। सक। सेट्। उभ।	से	सक	उभ	२६०			अदन्तः। ‘खेट भक्षणे’ इत्यस्य मैत्रेयसम्मतः पाठोऽयम्। ‘खोड’ इति तृतीयान्तं केचित् पठन्ति। ‘केत आमन्त्रणे निमन्त्रणे च’ (२६०) इति चौरादिकधातुवत् सर्वाण्यपि रूपाणि ऊह्यानि।
खेरृ	३६३	खेरृ गतिप्रतिघाते	१-भ्वादिः-५५२। सक। सेट्। पर।	से	सक	पर		खोरित्वा, खोरयित्वा, चुखोरिषित्वा, चोखोरित्वा	खोरितुम्, खोरयितुम्, चुखोरिषितुम्, चोखोरितुम्	खोरकः-रिका, खोरकः-रिका, चुखोरिषकः-षिका, चोखोरकः-रिका;  खोरिता-त्री, खोरयिता-त्री, चुखोरिषिता-त्री, चोखोरिता-त्री;  खोरन्-न्ती, खोरयन्-न्ती, चुखोरिषन्-न्ती;  -- खोरिष्यन्-न्ती-ती, खोरयिष्यन्-न्ती-ती, चुखोरिषिष्यन्-न्ती-ती;  --  सुखोः-सुखोरौ-सुखोरः;  -- -- -- खोरितम्-तः, खोरितः, चुखोरिषितः, चोखोरितः-तवान्;  खोरः,  खोरः, चुखोरिषुः, चोखोरः;   खोरितव्यम्, खोरयितव्यम्, चुखोरिषितव्यम्, चोखोरितव्यम्;  खोरणीयम्,  खोरणीयम्, चुखोरिषणीयम्, चोखोरणीयम्;  खोर्यम्, खोर्यम्, चुखोरिष्यम्, चोखोर्यम्;  ईषत्खोरः-दुष्खोरः-सुखोरः;  -- -- -- खोर्यमाणः, खोर्यमाणः, चुखोरिष्यमाणः, चोखोर्यमाणः;  खोरः,  खोरः, चुखोरिषः, चोखोरः;  खोरितुम्, खोरयितुम्, चुखोरिषितुम्, चोखोरितुम्;  खोरणम्, खोरणम्, चुखोरिषणम्, चोखोरणम्;   खोरा, खोरणा, चुखोरिषा, चोखोरा;  खोरित्वा, खोरयित्वा, चुखोरिषित्वा, चोखोरित्वा;  सङ्खोर्य, सङ्खोर्य, सञ्चुखोरिष्य, सञ्चोखोर्य;  खोरम् २, खोरित्वा २, खोरम् २, खोरयित्वा २, चुखोरिषम् २, चुखोरिषित्वा २, चोखोरम् २;  चोखोरित्वा २।
खोलृ	३६४	खोलृ गतिप्रतीघाते	१-भ्वादिः-५५१। सक। सेट्। पर।	से	सक	पर	३६३			खोलकः-लिका, खोलकः-लिका, चुखोलिषकः-षिका, चोखोलकः-लिका;  अित्यादीनि (३६३) खोरृधातुवत् सर्वाण्यपि रूपाणि ज्ञेयानि। लडयोरभेदात्  खोडः।
ख्या	३६५	ख्या प्रकथने	२-अदादिः-१०६०। सक। अनि। पर।	अनि	सक	पर		ख्यात्वा, ख्यापयित्वा, चिख्यासित्वा, चाख्यायित्वा	ख्यातुम्, ख्यापयितुम्, चिख्यासितुम्, चाख्यायितुम्	“अयं सार्वधातुकमात्रविषयः। ‘सस्थानत्वम्;  नमः ख्यात्रे’ (वा। २-४-५४) इति वार्तिकम्, तद्भाष्यञ्चेह लिङ्गम्। सस्थानः = जिह्नामूलीयः, स नेति ख्याञादेशस्य ख्शादित्वे प्रयोजनमित्यर्थः। ‘सम्पूर्वस्य ख्यातेः प्रयोगो न’ इति न्यासकारः।” इति सिद्धान्तकौमुदी। ‘असति बाधके प्रमाणानां सामान्ये पक्षपातः’ इति न्यायमाश्रित्य, आर्धधातुकमात्रेऽनभिधानमङ्गी- क्रियते।  वस्तुतस्तु, ‘न ध्याख्यापॄमूर्च्छिमदाम्’ (८-२-५७) इति सूत्रे ख्या- ग्रहणेन, आर्धधातुकेऽपि प्रयोगोऽभ्युपगन्तव्यो भवति। अत एव ‘ख्याञादेशे न’ (वा। ८-३-६) इत्येवोक्तम्। न तु, एतत्साधारण्येन, ‘ख्याशब्दे न’ इति। अतः, आर्धधातुकेऽपि रूपाणि प्रदर्श्यन्ते। धातुरूपप्रकाशिकायामपि, आर्धधातुकविषयेऽपि रूपाण्यस्य धातोः प्रदर्शितानि। ‘नमः ख्यात्रे’ (वा। २-४-५४) इति भाष्यवार्तिकपर्यालोचनया, तृजन्ते परमनभिधानं कल्प्यते।  ख्यायकः-यिका,  ख्यापकः-पिका, चिख्यासकः-सिका, चाख्यायकः-यिका;  -- ख्यापयिता-त्री, चिख्यासिता-त्री, चाख्यायिता-त्री;   ख्यान्-न्ती  -ती, ख्यापयन्-न्ती, चिख्यासन्-न्ती;  -- ख्यास्यन्-न्ती-ती, ख्यापयिष्यन्-न्ती-ती, चिख्यासिष्यन्-न्ती-ती;  -- -- ख्यापयमानः, ख्यापयिष्यमाणः, चाख्यायमानः, चाख्यायिष्यमाणः;  आख्याः-आख्यौ-आख्याः;  -- --  ख्यातम्-तः-तवान्, ख्यापितः, चिख्यासितः, चाख्यायितः-तवान्;   गोप्रख्यायः,  गोसंख्यः,  गोख्यः,  ख्यायः,  गोख्यायो , ख्यापः,  आचिख्यासुः,  चाख्याः;  ख्यातव्यम्, ख्यापयितव्यम्, चिख्यासितव्यम्, चाख्यायितव्यम्;  ख्यानीयम्, ख्यापनीयम्, चिख्यासनीयम्, चाख्यायनीयम्;   ख्येयम्, ख्याप्यम्, चिख्यास्यम्, चाख्याय्यम्;   ईषत्ख्यानः-दुष्ख्यानः-सुख्यानः;  -- -- ख्यायमानः, ख्याप्यमानः, चिख्यास्यमानः, चाख्याय्यमानः;  ख्यायः, ख्यापः, चिख्यासः, चाख्यायः;  ख्यातुम्, ख्यापयितुम्, चिख्यासितुम्, चाख्यायितुम्;  ख्यातिः,  आख्या,  प्रख्यातिः, ख्यापना, चिख्यासा, चाख्याया;   प्रख्यानम्, ख्यापनम्, चिख्यासनम्, चाख्यायनम्;  ख्यात्वा, ख्यापयित्वा;  चिख्यासित्वा, चाख्यायित्वा;  आख्याय, आख्याप्य, प्रचिख्यास्य, प्रचाख्याय्य;  ख्यायम् २, ख्यात्वा २, ख्यापम् २, ख्यापयित्वा २, चिख्यासम् २, चिख्यासित्वा २, चाख्यायम् २;  चाख्यायित्वा २;   सखा-सखायौ-सखायः।
गज	३६६	गज शब्दार्थः	१-भ्वादिः-२४६। अक। सेट्। पर।	से	अक	पर	१४१			‘गज मदने च’ इति श्रीकृष्णलीलाशुकः।  ‘गर्जेत् गृञ्जेत् गजेत् गञ्जेत् शब्दने गाजयेण्णिचि।।’ (श्लो-५९) इति देवः। ‘कख हसने’ (१४१) इति भौवादिकधातुवत् सर्वाणि रूपाणि ज्ञेयानि।  गजः-पचाद्यच्।
गज	३६७	गज शब्दार्थः	१०-चुरादिः-१६४८। अक। सेट्। उभ।	से	अक	उभ	१५९			‘गर्जेत् गृञ्जेत् गजेत् गञ्जेद् शब्दने गाजयेण्णिचि।।’ (श्लो-५९) इति देवः। ‘कण निमीलने’ (१५९) इति चौरादिकधातुवद्बोध्यानि।  गाजितः।
गजि	३६८	गजि शब्दार्थः	१-भ्वादिः-२४७। सक। सेट्। पर।	से	सक	पर	१६३			‘गर्जेत् गृञ्जेत् गजेत् गञ्जेत् शब्दने गाजयेण्णिचि।।’ (श्लो-५९) इति देवः। ‘कदि आह्वानरोदनयोः’ (१६३) इति भौवादिकधातुवत् रूपाण्यूह्यानि। गञ्जा (मदिरागृहम्)। स्त्रियां ‘गुरोश्च हलः’ (३-३-१०३) इति अकारप्रत्ययः।  गजगञ्जी ।
